Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
CD3,CD3_TotalC,867.5058496035927,1.6944829745853998,4.496095006646793e-31,58.408765841593656,-2.9658572826186456,1.7213875138121695e-33,459.9453130758183,0.24683305747753614,0.1443440411689214,801.8692366921944,1.1809871968648604,9.793541330781702e-10,13.20793570470375,-5.134236874513512,1.0412256668699262e-73,162.4347237414691,-1.5290384294342507,7.532561474643047e-18
CD19,CD19_TotalC,3.6024622624824096,-4.981907526804385,9.74239280233453e-30,11.22751979600054,-3.1955276427696315,4.4118989938645614e-11,3.7115156682330586,-4.85372828565873,2.4413719386168564e-22,4.310665094746527,-4.53827796286933,9.228493110806872e-13,448.38609401778757,3.8581909000664227,1.5319948063799357e-40,101.57790020925974,0.23495327008407152,0.42305281296394404
CD45RA,CD45RA_TotalC,687.1562959944018,0.38645026445198916,0.014652948125488273,100.21363383630195,-2.67076325577759,3.4460279724549564e-27,930.5239052356261,0.9354780523312449,3.244425798611461e-08,50.53912707312943,-3.626602184180636,1.5528992454429566e-32,1402.0667849010122,1.7256703709272863,6.285377182264379e-24,157.47737527643687,-2.1088516227711,9.314852305851617e-29
CD4,CD4_TotalC,966.155676199411,1.4975155587916333,6.362698510866409e-25,421.23087984354936,-0.21709289303582935,0.28752273930068484,10.201335450186553,-5.816424683994119,1.7766360969994037e-106,1348.5967066356116,1.8341943770773046,5.848239195791767e-24,67.38794868979475,-3.0234613244334883,1.3109035653221226e-35,240.27623475138515,-1.1915114544621908,4.2278560199972854e-12
CD8a,CD8a_TotalC,5.928623609113909,-5.621196139504496,1.1069312937451984e-62,65.71627729739058,-1.9660682071078233,2.4614932401886823e-09,1035.7635053973781,3.9893433432892733,2.166874460425325e-81,11.298390059841593,-4.502531002257186,2.2060366676654875e-23,20.358240520167467,-3.6984480267763242,1.379525617214272e-23,174.1915172520391,-0.49472933367531446,0.04538570463481183
CD14,CD14_TotalC,2.2314680528748183,-6.685618319468535,1.2535375000695562e-95,921.7601280748511,3.965399378734073,4.379278577231494e-94,5.401961741264495,-5.320602652082805,4.94394864387496e-57,3.0362819615774153,-6.052354676234999,1.2818427932956044e-40,21.450914446391142,-3.2688873101984175,2.020575351126892e-24,202.09351146172688,0.21816903603685844,0.2835130318123177
CD16,CD16_TotalC,2.0009104680759444,-5.008472578737663,7.199067958405927e-14,8.52008359376498,-2.7638643071522084,9.128626291926452e-05,35.52069808347759,-0.6049517647336433,0.2898871829791204,2.3178377791196607,-4.610637095658623,4.68600451272488e-06,214.2407684118565,3.1559841926800862,5.008601573186604e-13,55.998940325303785,0.18354616366189536,0.6327621749589002
CD56,CD56_TotalC,5.24930215390294,-2.9428718149376882,4.516630258780739e-15,9.880217420480474,-1.885307207075209,1.4262931057846921e-05,11.337187227964774,-1.70956679406136,1.158724674705172e-05,6.397574386647624,-2.4893519264798534,4.68600451272488e-06,40.92095803237679,0.3811679549963163,0.23925781919388278,96.07150351936842,2.7677257212581114,2.8599511538596955e-25
CD25,CD25_TotalC,5.722768622686343,-3.4835343628839266,1.9748241967168006e-32,15.468314416089886,-1.8882629333769052,6.966434438866798e-09,5.241982617633759,-3.5329109938055345,3.4931458855713046e-26,28.72921439137616,-0.9153393075124505,0.007913764238756628,17.565851597595845,-1.6968050639613814,9.243157618461095e-08,182.79327277483176,3.846620030783052,7.083389465236122e-82
CD45RO,CD45RO_TotalC,8.423586044616012,-3.756419062883205,4.226605121077832e-65,235.26465766819413,1.805155822026589,5.737918837227666e-25,29.670794796047037,-1.8005587334520303,9.070272846298333e-17,190.37915544437095,1.2611699365185443,4.357146803166325e-10,6.453805061321137,-4.021609507778809,1.090507390809095e-47,131.62038677383302,0.7402477950370034,3.7176353574053083e-06
