Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
CD3,CD3_TotalC,851.672541145042,1.678425455157349,4.580774049252338e-31,63.05370536947452,-2.79384024305595,5.056630318479955e-21,58.26597731454779,-2.913151493968173,2.936597984508285e-23,424.4205235508626,0.0963150587014745,0.6009458860734355,881.0606520568938,1.2640101711341298,2.9544292392067418e-08,7.687387744872812,-5.849876411452243,2.608499708874926e-59,188.55416638520484,-1.2421281108774735,1.2501589366313516e-10,639.8536433634187,0.6759377476966968,0.04145804371271517,691.9853715129462,0.7929412331274754,0.017955979754828717,6.719302312568446,-5.975575593296709,5.211233544028916e-26
CD19,CD19_TotalC,3.567779367208949,-5.0109596325354335,4.580774049252338e-31,8.996837527534405,-3.4564512785763895,1.0019587382220139e-08,18.849135563428632,-2.3784063621592635,2.192500825101801e-05,3.5632516756410495,-4.848036737894003,4.893820628673223e-17,3.9724842271675826,-4.606801752449031,1.5769896402984433e-08,651.4898047979059,4.452974284524606,1.8479573236344486e-47,122.50972544339614,0.5667212001139532,0.07530801974221049,5.323695884962522,-4.148362434547369,0.0023689175518210753,3.3033697199810157,-4.832772572503351,0.0006581067427772216,4.194214182367565,-4.497717393601421,5.162056555891819e-05
CD45RA,CD45RA_TotalC,692.7953617239306,0.4079642637140992,0.00905752282248538,147.92166063447766,-2.0393481357786767,1.4522243476788728e-12,92.81200392738457,-2.72915079809903,3.8839249240397535e-20,1072.159236438006,1.1373014057678787,6.241590601531933e-10,49.305539525432934,-3.616673278092777,1.1724164124502264e-21,1443.0577913760214,1.62086858181139,1.990120048961917e-16,160.37426726111394,-2.0178323981453223,5.024714673670717e-22,262.22614859007706,-1.157302427265332,0.016165332646378015,22.869482676791648,-4.695249815631041,4.551499248233654e-13,1453.059824618902,1.4518165102639706,4.0967809516155737e-07
CD4,CD4_TotalC,971.4428945022464,1.5414663966810132,6.868186668910402e-27,439.65999702522186,-0.144192006696521,0.5865286158760792,381.73405358270844,-0.3667128946535101,0.15165963010047814,6.5923670054266355,-6.381697340940008,5.9088950310090576e-92,1273.7913476133438,1.5886291836440574,5.112701362982047e-13,9.094412653328321,-5.869642371624025,1.4878417300297425e-62,216.33221311536926,-1.311569717575944,7.808012468717252e-12,26.1816633522003,-4.271543208772406,5.830008670871463e-14,1471.29828613616,1.6861383923305553,6.1805831681367e-08,36.699374095716195,-3.788251665740087,1.664081919957525e-15
CD8a,CD8a_TotalC,6.104866917224201,-5.593842719265057,1.5900068852898595e-64,64.80756726894118,-1.9363939031055812,1.2553455497130353e-06,63.201123973524474,-1.9767339647992301,8.285723923316443e-07,1029.9273245663549,3.203586888622061,2.1679829582350724e-45,12.579533386030679,-4.2988005336182376,1.086146394448107e-14,11.004612032357322,-4.528451107085862,8.362898318811863e-22,197.26934017848427,-0.26227722322557323,0.3620932548561658,1293.2485849778188,2.71051585733259,4.1911661594025176e-12,6.80437694457628,-5.149693307468025,1.510238112133087e-07,72.17900223023366,-1.7359101506378032,0.003299825485441784
CD14,CD14_TotalC,2.3547343823579063,-6.623318166181479,4.4567552340229764e-98,896.3371946425661,3.0869064605393763,9.30673147152267e-44,870.8741760731646,3.043901360375938,3.8269341607840116e-43,5.9246965731073065,-5.12180105994085,1.9386406765844553e-40,2.700250716506069,-6.169389508154367,5.251625095498699e-27,2.199058797321192,-6.503835160187521,2.56922786508447e-41,40.83322637784932,-2.368750218444644,8.175084463546807e-19,4.067849676202132,-5.540919125558357,6.998557816400486e-11,3.2469018615198015,-5.863213496344555,4.3820654034303865e-11,3.2526558965299484,-5.869039746177039,2.1935812529442098e-15
CD16,CD16_TotalC,2.025705840715303,-5.005618754717483,2.2434971300912122e-14,8.589183140090801,-2.6930272393668484,0.0016806170200097195,10.63308134904287,-2.3832252940675938,0.005652821235808834,2.270079469885718,-4.675259147468665,1.607779633933877e-07,2.11606185956966,-4.690920927882463,0.0004749504222013276,4.481980006404633,-3.6434274607976938,0.0003290210572779943,63.90457694415046,0.4121779074747485,0.3620932548561658,3.3853245627453985,-3.9762523255043867,0.2022696008678174,2.202246479987344,-4.590646616428946,0.15964866205261485,853.4797880078978,5.756557872897663,3.813419502558711e-27
CD56,CD56_TotalC,5.609342005111848,-2.8569048787725357,6.8235165186100215e-15,8.958916189167557,-1.9807629583263813,0.0002010829243085618,14.98924432177089,-1.2149231266444347,0.01743691265198489,4.575299488840874,-3.011730684322485,2.374716192622877e-09,5.595231051990941,-2.643711576646161,0.00017199810554578978,6.774219261239436,-2.3948620217407357,2.825068370866152e-05,116.14036499966222,3.0074918308321026,1.7291775015715395e-27,16.24409770027026,-1.065370868984291,0.48566173632476384,6.239698359964141,-2.456392439424275,0.056316479521108596,139.15803483640957,2.2872932650927496,1.472310779872814e-06
CD25,CD25_TotalC,5.807551969956789,-3.475832893496336,1.9998381948684322e-33,15.035810662454757,-1.8808687991838613,1.953665301801644e-06,22.837689846474962,-1.258882069389836,0.0009699696900480785,4.427709182749233,-3.718240525091324,3.652185593505411e-21,17.733377301669666,-1.613172766337887,0.00032913850245829733,20.891058574551327,-1.3918237244017932,0.00022152545384110104,223.8217371071731,4.049517140978304,6.016386767220495e-86,9.446147570241193,-2.5100283818902445,0.002449328550829422,52.48687443969836,0.00022235629065026075,0.8516388051890312,6.398316533305622,-3.0779128124171753,1.2896921330440513e-05
CD45RO,CD45RO_TotalC,8.630061869348758,-3.7350218856238144,8.18993916141102e-67,216.39811739041127,1.471617599432494,1.5531432265102495e-12,232.4205940512482,1.6167226033514739,1.6544237155261674e-15,5.966865231990633,-4.116461919654113,6.439200838342335e-44,183.75985044299716,1.1185730113073395,3.608521135092794e-06,3.7831265750525596,-4.730568721923641,2.100059941706287e-40,111.18753424451897,0.3637503886901996,0.04293572779965243,124.38337667635513,0.4388933725959001,0.2022696008678174,225.95613563254759,1.3530313886824556,7.148156061476021e-05,5.007378156500052,-4.2586523317479905,3.3176121168297864e-15
