Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
CD3,CD3_TotalC,708.7882858812951,2.9254449640035896,9.323009940355392e-94,93.29311304869712,-2.9254449640035896,9.323009940351151e-94
CD19,CD19_TotalC,4.302276694229671,-5.332658827169928,6.2488667805030225e-68,173.44200123368284,5.332658827169928,6.2488667805030225e-68
CD45RA,CD45RA_TotalC,635.4970963231395,0.38896135639118334,0.004189483979626554,485.3009199273127,-0.38896135639118334,0.004189483979626554
CD4,CD4_TotalC,724.1203656110266,1.6200584031212877,1.3179550957195488e-33,235.56421786172746,-1.6200584031212877,1.3179550957190244e-33
CD8a,CD8a_TotalC,353.47469013658537,1.734909647377421,5.499561122939046e-19,106.18919893969957,-1.734909647377421,5.499561122937796e-19
CD14,CD14_TotalC,4.668968631881314,-6.235687173542495,1.353100601529847e-187,351.9681736492006,6.235687173542495,1.353100601529847e-187
CD16,CD16_TotalC,13.92521709765224,-2.641518508718066,5.10914462660386e-11,86.89862527716186,2.641518508718066,5.10914462660386e-11
CD56,CD56_TotalC,6.290037445361102,-3.2171898410587554,5.211128869065253e-32,58.50902755780804,3.2171898410587554,5.211128869066056e-32
CD25,CD25_TotalC,10.114888497994823,-3.17734173925419,1.3319987880957307e-53,91.51508127302735,3.17734173925419,1.3319987880958063e-53
CD45RO,CD45RO_TotalC,54.3738792498993,-1.2144265602178468,8.813929288825731e-18,126.17241951886366,1.2144265602178468,8.813929288828237e-18
PD-1,PD-1_TotalC,8.66627381360863,-2.6466295540035683,9.460807151711958e-33,54.2763836420319,2.6466295540035683,9.460807151711958e-33
TIGIT,TIGIT_TotalC,4.427532851150282,-3.653965507851262,1.7878315774367203e-25,55.752721271026786,3.653965507851262,1.7878315774367045e-25
IgG1,IgG1_TotalC,6.40077114930541,-3.4456259950867616,1.7574384911621273e-88,69.75382891819348,3.4456259950867616,1.757438491162327e-88
IgG2a,IgG2a_TotalC,5.220821844980816,-4.149241171773477,6.7004344669874736e-80,92.66473234082989,4.149241171773477,6.7004344669874736e-80
IgG2b,IgG2b_TotalC,1.7281719041800199,-3.641207147645017,3.020849248164167e-65,21.582735108280676,3.641207147645017,3.0208492481638235e-65
CD127,CD127_TotalC,100.10871428552053,0.9260643848311698,7.877249896714534e-10,52.684009802777446,-0.9260643848311698,7.877249896714534e-10
CD15,CD15_TotalC,9.581188351115697,-4.433037715187531,1.1065563180979317e-91,206.99610289582046,4.433037715187531,1.1065563180981204e-91
CD197_(CCR7),CD197_TotalC,9.348829103494856,-2.4432222104195747,2.0301887421325746e-41,50.850637680676186,2.4432222104195747,2.0301887421325746e-41
HLA-DR,HLA-DR_TotalC,15.961991127578692,-4.045450700091931,1.6378071900929273e-106,263.5860700531817,4.045450700091931,1.6378071900932998e-106
