Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
CD3,CD3_TotalC,720.889610591309,2.9656930362216505,6.780974507659846e-97,123.51041005023839,-2.178335262803361,1.1314669043134819e-46,13.020723839022207,-5.161486585517736,2.295275647536701e-76
CD19,CD19_TotalC,3.643898987737578,-5.553392426392917,4.573765979084033e-71,67.04102878586123,-0.6167227571797618,0.0253210999526942,435.3874354046353,3.8081192866196156,4.25990626933809e-40
CD45RA,CD45RA_TotalC,617.3396839311538,0.28936368791596934,0.032885260112271227,135.6307390994011,-2.5736456507831855,1.3352743440042044e-58,1442.333756048027,1.807068310575076,7.427016669949418e-27
CD4,CD4_TotalC,734.374993356273,1.6490326426564925,6.614462144176285e-35,310.74674071887426,-0.8893370470961521,2.963281981583798e-10,39.79450965481906,-3.801457237829955,2.0915961566071896e-51
CD8a,CD8a_TotalC,356.8544930577366,1.7350761046774315,3.984290952854739e-19,134.61541076766866,-1.0765177557381733,1.875950042020701e-07,37.60370149696642,-2.8035390080476468,2.647297348467346e-16
CD14,CD14_TotalC,6.313997383924597,-5.76952093115078,1.5878076508453518e-165,479.30836980651316,6.458057661504381,9.134827609906352e-236,2.5259459497054517,-6.380176741755404,2.327650127780636e-60
CD16,CD16_TotalC,2.045535587943965,-5.565386563265919,3.991878666560266e-33,36.19217352124827,-0.7106165136482154,0.08540656195257092,251.03682486397008,3.899204977821179,5.330344030850001e-20
CD56,CD56_TotalC,5.863129557855647,-3.3066864403533387,4.066745688813358e-33,62.913657953011516,2.0681717711987577,3.5597999012443247e-16,45.628389735219855,0.5780673978828776,0.07380245465570608
CD25,CD25_TotalC,10.246156129312814,-3.134838986849014,7.286310449950829e-52,118.72001758389592,3.3249531995359254,2.9636282686023217e-64,17.166502449349583,-1.7362777157402238,3.258236651950127e-08
CD45RO,CD45RO_TotalC,55.763480553724456,-1.1487612970195178,4.666348602376419e-16,170.6877021485437,1.955989081282338,9.25460161195797e-44,4.263697463016328,-4.630399245815037,2.6319522392679877e-58
PD-1,PD-1_TotalC,8.773444418751533,-2.605470763785637,1.1562967029614992e-31,72.76356605796288,3.230816423460551,1.0777991575165265e-50,4.276109973825691,-3.0912551833231645,2.8768740302842927e-15
TIGIT,TIGIT_TotalC,4.305418175166611,-3.6746549848947825,1.914770311697597e-25,73.04492210169597,3.7477770653937017,7.903915110816994e-30,9.210083020547643,-1.8857605067142016,0.000423165008716518
IgG1,IgG1_TotalC,6.47106199546501,-3.406093497970551,7.578379605424843e-86,90.74099396536046,3.5298452899799084,3.16401075368208e-103,12.468367108005536,-1.7837452446381277,8.179875219556162e-12
IgG2a,IgG2a_TotalC,5.205306008345212,-4.130504702609299,2.2673616663934213e-78,117.9884918701899,3.6577561039918782,1.486556950312969e-73,23.21760146891424,-1.2176771514964342,7.752053647208559e-05
IgG2b,IgG2b_TotalC,1.7295585459038403,-3.617273246764633,8.029170615935143e-64,28.28484540520187,3.743236440004871,7.847964073822789e-77,3.3824091955515265,-1.9644697104824302,2.4064145539949697e-09
CD127,CD127_TotalC,102.1862362681926,0.9879041455887423,5.243129361864954e-11,67.43737382138089,-0.271089260873989,0.08604022293451435,11.13402219599897,-2.976541761432385,1.1368548710426045e-27
CD15,CD15_TotalC,9.721375544871906,-4.387633709505572,4.2350190023887715e-89,279.5602582017816,4.815397349428997,8.061355679118337e-121,10.575459209577616,-3.5792502931070223,2.2628432602321394e-23
CD197_(CCR7),CD197_TotalC,9.446050519936358,-2.405559059710407,5.8546753180639864e-40,65.5168130011159,2.744969348639636,4.1717737041941025e-55,10.823709425764884,-1.6397128593091814,6.608804171374682e-09
HLA-DR,HLA-DR_TotalC,15.826569386395718,-4.035305654484608,8.348276587180392e-105,242.29648514005427,1.5660635474052391,1.4637262880856623e-21,303.1507514970823,1.4128331526756988,6.646170091166953e-12
