Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
CD3,CD3_TotalC,722.0463451511451,2.9619592099767678,8.359896140910249e-97,59.53322445428239,-3.008081936978998,6.278816337738043e-45,12.987056857044943,-5.163969645448487,5.239712478446953e-76,190.47183952590566,-1.2282339809313685,1.551572846217079e-10
CD19,CD19_TotalC,3.6603860538980793,-5.54343395220441,9.556031849825076e-71,14.209124444832733,-2.9188152415667217,1.1968843846781349e-12,437.7156145311957,3.8163789758262956,3.3915192894903307e-40,121.29599371038859,0.5495794534700131,0.08406456334095266
CD45RA,CD45RA_TotalC,621.8469817698693,0.3113036802478959,0.021722963106156516,98.04152677907598,-2.7715872233633387,1.1126454878663043e-37,1442.4807053453408,1.803850936805981,1.156177745503037e-26,171.5249248102176,-1.918099785691477,1.6618371333238443e-20
CD4,CD4_TotalC,728.8854875150074,1.5994952124947543,4.928325732787573e-33,413.9594770239647,-0.2562825853113253,0.15426517607833506,39.89728711537161,-3.796485467510238,4.8461773002075836e-51,219.66408617064275,-1.2896880311943777,1.2669286109927064e-11
CD8a,CD8a_TotalC,362.1726004836919,1.8174134451219093,9.199585153445592e-21,63.513879404564726,-2.077990449739487,6.792183500076878e-13,37.57571808566439,-2.8035303059043395,3.1818073790263977e-16,195.3860248988507,-0.2791924874439884,0.30738707977636476
CD14,CD14_TotalC,4.729233601013055,-6.1892728015567595,1.3083219591758775e-182,900.3296449960508,6.18648336196032,1.0314147697576694e-238,2.471347676785102,-6.410381800319836,2.221516344874513e-60,40.4750177080745,-2.3849543156677386,3.2959020119457874e-19
CD16,CD16_TotalC,2.078417587284233,-5.538617327722603,7.662127077657766e-33,9.717761964957825,-2.6367459292776734,1.2566181122967723e-05,248.28931141640223,3.825610130569033,3.2829526684306296e-19,66.54501930272833,0.4897013603176168,0.29364448961092127
CD56,CD56_TotalC,5.90366920737509,-3.2927486115729248,7.662127077657766e-33,12.151975423763567,-1.6256033601277893,1.1570996562880973e-05,45.23315141752126,0.5616367457880491,0.08294984752374224,115.45357332255395,3.010509921924287,1.1389716607964738e-27
CD25,CD25_TotalC,9.63444730077121,-3.2298862190036246,2.013555826428352e-54,20.375798540473948,-1.5218165713137424,4.1219864269785695e-08,16.981154112455208,-1.7518287609109917,2.762967337513347e-08,221.60990502538462,4.041767603218178,6.862784053157944e-86
CD45RO,CD45RO_TotalC,54.70017195625323,-1.1863763525742401,5.498914655239809e-17,230.26704726789063,1.981203347772885,5.419317572499911e-36,4.200042895142357,-4.6509565938335005,2.4438438920973038e-58,110.12242676644995,0.3471027921405829,0.05331724765022162
PD-1,PD-1_TotalC,8.82493884654375,-2.592882162239212,2.306282669602728e-31,8.424287754494381,-2.1418351494050625,1.7839004166812383e-11,3.9441710397176375,-3.20872365194098,5.102881195613421e-16,139.07144605434428,4.137091038632597,9.960696259296986e-75
TIGIT,TIGIT_TotalC,4.301324097748654,-3.6730056413305645,2.187965476696669e-25,7.197635089958939,-2.3136769680595943,2.509116503963844e-06,9.080330479096776,-1.9062076435840423,0.00038672208659051453,140.8981331424693,4.594102722992888,2.8432137228680654e-41
IgG1,IgG1_TotalC,6.500149121016377,-3.395977738394657,2.727205506374662e-85,33.01938962356495,-0.266541166061268,0.20911065798650086,12.40666459961814,-1.7903389457099124,7.94667260538688e-12,149.833015638733,3.450850619221166,7.037968758635746e-90
IgG2a,IgG2a_TotalC,5.238649676327818,-4.117601327330994,7.491254128015424e-78,32.88097356414266,-0.6972689863465087,0.009041252944913739,23.284338843649536,-1.2125156339363201,8.6360704078955e-05,205.18461270308654,3.7891062712930466,1.870842297598989e-73
IgG2b,IgG2b_TotalC,1.7468340328066239,-3.5987236549646275,3.436756934104855e-63,7.130813544030938,-0.8494902470715138,0.0015782605552691353,3.2951302357134695,-2.002759285298653,1.434854199224003e-09,50.02045050824954,3.9337903449167575,2.742458498571196e-79
CD127,CD127_TotalC,102.29815761157263,0.9890925965740918,4.9254944743910255e-11,19.044140589480218,-2.2371497710054804,1.8560191517376454e-22,11.108582991609802,-2.9787771083092816,1.4611978517786842e-27,117.46888570782231,0.8032963862915565,1.2815973626188287e-05
CD15,CD15_TotalC,9.66964332052023,-4.392451350314454,4.302366658782408e-89,431.9869755218261,3.658692607979485,2.876867386004733e-71,10.490746072413527,-3.589817208730318,2.3715972591601213e-23,118.2531698380499,0.1375320707086347,0.530289254331335
CD197_(CCR7),CD197_TotalC,9.525154397340042,-2.388623380504186,2.02027698178044e-39,13.770011428734442,-1.313429820694528,1.0658817188067196e-07,10.81526647441561,-1.6400288174249766,7.1949318850092695e-09,118.51128866571975,3.459631782858425,4.1527412033539827e-76
HLA-DR,HLA-DR_TotalC,13.237408269815624,-4.303389507279874,7.954741209526369e-116,301.4463125839103,1.537303344523112,4.300400035171404e-16,304.7433798108417,1.4214936564709637,5.256647590647744e-12,185.21018650032818,0.49432443364331036,0.017038420650091694
