Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
CD3,CD3_TotalC,846.0091121074387,2.2192809029543348,2.1493397281852341e-60,56.826929969880865,-3.0770484214351574,1.608252692635046e-46,377.11356174874305,-0.10366172735532331,0.632689595528683,7.494753075184411,-5.89381379163197,1.0809661283394894e-62,190.47183952590566,-1.2282339809313685,1.551572846217079e-10
CD19,CD19_TotalC,3.6185917464958384,-5.181906472868625,3.0385826945692607e-46,14.082614533866646,-2.932061668199107,9.918617366540935e-13,3.957606632704026,-4.816180336836765,2.9871408373149845e-26,619.6016903999972,4.374343691241882,1.946279766790115e-46,121.29599371038859,0.5495794534700131,0.08406456334095266
CD45RA,CD45RA_TotalC,485.6050908791418,-0.2969335670301554,0.04536462851047448,99.9006353729584,-2.7435063473774495,4.442051193128208e-37,1019.6898278560251,1.1967158989667492,2.2756428922321963e-14,1430.2841480324444,1.6211663924030244,5.618272594384476e-17,171.5249248102176,-1.918099785691477,1.6618371333238443e-20
CD4,CD4_TotalC,1085.031841415769,2.5633317705758616,1.7308718970616777e-81,412.6922123568717,-0.2615601516654813,0.14556459155283596,14.916789864482404,-5.322081666723914,3.662770218549362e-112,27.47190222948801,-4.277302929321833,2.56970530428656e-43,219.66408617064275,-1.2896880311943777,1.2669286109927064e-11
CD8a,CD8a_TotalC,8.888010953883533,-5.2396766818360945,3.860051692026415e-82,57.19451007805298,-2.237038123746925,1.8573173956896416e-14,884.2398494988846,3.8077765899651768,8.077626737146208e-78,10.90548585762649,-4.5486198983011015,5.224773858877825e-23,195.3860248988507,-0.2791924874439884,0.30738707977636476
CD14,CD14_TotalC,2.4417915364777705,-6.766523762065738,7.833437166283686e-143,900.5092060423738,6.187605807857544,8.7339234112067e-239,8.05782972064063,-4.795966977702813,1.2726247277190488e-58,2.205902500852149,-6.506926242270603,2.2083061324454976e-43,40.4750177080745,-2.3849543156677386,3.2959020119457874e-19
CD16,CD16_TotalC,2.047687484879214,-5.1818203492227575,3.447396203166904e-21,9.724164679825885,-2.635714503205258,1.267013780287747e-05,156.70428695102055,2.7083668639997,3.444385103572639e-11,44.312949033182534,-0.2262252787099639,0.824104425799126,66.54501930272833,0.4897013603176168,0.29364448961092127
CD56,CD56_TotalC,5.6580113142086494,-3.0149822157244834,1.2662450357383234e-21,12.087179660932321,-1.6338577538103003,1.055177767375765e-05,33.9560866380315,0.06840365064925802,0.8239934957773438,6.883478888201285,-2.3772238535370933,1.823488267907374e-05,115.45357332255395,3.010509921924287,1.1389716607964738e-27
CD25,CD25_TotalC,12.771176049704277,-2.451491748955003,2.225278281671795e-26,18.56518234651098,-1.666377036662226,2.510651282807284e-09,6.2305563879732295,-3.3307681333636383,3.668876670947044e-28,20.11003484712602,-1.4534116691943373,8.008842339295737e-05,221.60990502538462,4.041767603218178,6.862784053157944e-86
CD45RO,CD45RO_TotalC,66.81303862170496,-0.6137374327723633,6.48322610261269e-05,228.95466971484007,1.9652400629560152,2.1976329059410602e-35,25.920540738520963,-2.049118088509668,5.8295435412616654e-24,3.773953676156689,-4.741299661045677,1.3230050090111578e-42,110.12242676644995,0.3471027921405829,0.05331724765022162
PD-1,PD-1_TotalC,7.860033252860724,-2.4601882521138023,3.7388821115201325e-22,8.296808155884824,-2.164931058339293,1.1591679868151507e-11,9.408229281124097,-1.9910888184726416,5.012066496590094e-11,4.075161246554171,-3.101597385385599,5.741532500489899e-11,139.07144605434428,4.137091038632597,9.960696259296986e-75
TIGIT,TIGIT_TotalC,3.7067828629374735,-3.5439449602190733,4.88722850447123e-18,7.069949872764916,-2.340638130587622,1.9887958978682416e-06,7.750312989045384,-2.2201784713836195,2.1844085945223663e-06,6.378513255476094,-2.3809617306070807,0.0009892529530563545,140.8981331424693,4.594102722992888,2.8432137228680654e-41
IgG1,IgG1_TotalC,6.661185263732248,-3.0127353054203763,1.2471613847673688e-52,32.905580332861966,-0.2724770337534368,0.19895706659995574,6.431110778144042,-2.8553649977674356,4.835084994938845e-32,14.723734764723984,-1.4883983402975778,1.1209206061411798e-06,149.833015638733,3.450850619221166,7.037968758635746e-90
IgG2a,IgG2a_TotalC,4.969018217008375,-3.8342313358452778,2.5930801061099263e-51,32.867390191753174,-0.6979304764694048,0.008981614624727833,6.203815802617122,-3.282718215513488,8.94114404063227e-27,29.837267561727064,-0.7986356542625241,0.025756720255823373,205.18461270308654,3.7891062712930466,1.870842297598989e-73
IgG2b,IgG2b_TotalC,1.6618513504470607,-3.322294400690557,2.4921278687945285e-41,7.103366246235108,-0.8557445073013086,0.0014603461679627912,2.0545683081943196,-2.7896593717780247,5.810333444826118e-21,3.658786075710593,-1.7978626125336106,5.1524564874369255e-06,50.02045050824954,3.9337903449167575,2.742458498571196e-79
CD127,CD127_TotalC,105.6667373590228,0.7693212112778811,6.955787034219135e-07,18.4840282966548,-2.282260515474758,3.5154079241625387e-23,77.67248693104253,0.0300069627893782,0.8316934694224941,11.986289492582161,-2.8099206327070654,2.0142243228606455e-18,117.46888570782231,0.8032963862915565,1.2815973626188287e-05
CD15,CD15_TotalC,6.584018036845817,-4.5939027758231745,3.317728823899103e-69,431.94481724334094,3.6574803082340814,3.2399013701981874e-71,16.035437685212933,-3.052899959487522,5.478751149046339e-25,8.309785324495245,-3.86800636399572,1.0529838929959921e-18,118.2531698380499,0.1375320707086347,0.530289254331335
CD197_(CCR7),CD197_TotalC,9.86362517951912,-2.0276698029235862,2.598738778590665e-23,13.753224566803324,-1.3153216418446405,1.0269595007897755e-07,7.745856224819366,-2.2194708986740217,1.7490860979017615e-18,13.83783014590786,-1.2257971537206358,0.00017586326792204323,118.51128866571975,3.459631782858425,4.1527412033539827e-76
HLA-DR,HLA-DR_TotalC,11.14239636792283,-4.193974235877354,2.6102662078130706e-81,314.0375303375876,1.637601857914353,2.858671841262381e-18,12.911245962774283,-3.749841873570003,6.528821919353674e-45,411.14833359256323,1.887767424489085,5.896738391119885e-17,185.21018650032818,0.49432443364331036,0.017038420650091694
