Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
CD3,CD3_TotalC,843.0340824570569,2.190707991356339,7.491840488536612e-59,60.303447323362086,-2.9909810446915577,8.170975392486881e-45,472.05282077512965,0.2921341026751456,0.08109720912756638,7.670355815115809,-5.855433092379503,4.4061511138841045e-60,188.55416638520484,-1.2421281108774735,1.2501589366313516e-10,6.719302312568446,-5.975575593296709,5.211233544028916e-26
CD19,CD19_TotalC,3.611112203044425,-5.1816870843643335,4.78409163049116e-46,14.134953617219443,-2.9285693354853435,8.736302484003605e-13,3.9720358214287166,-4.750158727393946,2.8950543897465287e-21,640.800036286706,4.427124851331882,5.224611753355835e-47,122.50972544339614,0.5667212001139532,0.07530801974221049,4.194214182367565,-4.497717393601421,5.162056555891819e-05
CD45RA,CD45RA_TotalC,488.12323042149205,-0.2859354288322393,0.054322749849978716,105.67086552269384,-2.6615483363700116,1.4057124067440386e-35,900.97835247409,0.8664860909361689,3.4682853838796076e-07,1445.426776165796,1.629725311011537,8.249742661322245e-17,160.37426726111394,-2.0178323981453223,5.024714673670717e-22,1453.059824618902,1.4518165102639706,4.0967809516155737e-07
CD4,CD4_TotalC,1089.2654111732363,2.568497166988667,9.044737204846671e-82,415.3126194097639,-0.2509678594806033,0.1621236242188518,14.388441662302656,-5.313187987046609,1.3582895723655513e-92,22.58035451427163,-4.5568324481323685,1.2110926292320378e-45,216.33221311536926,-1.311569717575944,7.808012468717252e-12,36.699374095716195,-3.788251665740087,1.664081919957525e-15
CD8a,CD8a_TotalC,7.385610617729664,-5.506601374385008,1.15757864205865e-87,57.037524103286906,-2.2430266757110795,1.3241652090953655e-14,1063.1526084609047,4.0670520267962535,3.391524148344553e-84,10.987761794891105,-4.5329484220584915,3.5191961349561514e-22,197.26934017848427,-0.26227722322557323,0.3620932548561658,72.17900223023366,-1.7359101506378032,0.003299825485441784
CD14,CD14_TotalC,2.4646394637343088,-6.74973635995837,9.675924920552866e-142,894.2230499135027,6.1769881437652945,3.5032388488312116e-238,9.06341415888249,-4.564539718999636,2.0341527955559874e-45,2.236041599627548,-6.4822869381469586,7.534881041443335e-42,40.83322637784932,-2.368750218444644,8.175084463546807e-19,3.2526558965299484,-5.869039746177039,2.1935812529442098e-15
CD16,CD16_TotalC,2.0658663370177464,-5.165669838305064,5.237574813473714e-21,9.750368742662774,-2.633640046105326,1.1975381942981331e-05,2.4723341980165063,-4.611220551704717,1.8331774432000043e-09,4.444590884505576,-3.6578053203969425,0.0002676040664889045,63.90457694415046,0.4121779074747485,0.3620932548561658,853.4797880078978,5.756557872897663,3.813419502558711e-27
CD56,CD56_TotalC,5.665901508764489,-3.009935603209185,1.7294527060156205e-21,12.163075446608012,-1.6257114748568071,1.0825034473209486e-05,6.868198739105195,-2.4628762151565913,2.893588102625536e-09,6.781437638214694,-2.395203052305495,2.348569084526738e-05,116.14036499966222,3.0074918308321026,1.7291775015715395e-27,139.15803483640957,2.2872932650927496,1.472310779872814e-06
CD25,CD25_TotalC,12.810586695769564,-2.4439380082670548,3.74303525284361e-26,18.63330069392677,-1.6622848491721829,2.4173406529409435e-09,6.351997093365485,-3.2459467686134853,1.107937334519278e-22,20.64672837688879,-1.4108794425087128,0.00016195366673295514,223.8217371071731,4.049517140978304,6.016386767220495e-86,6.398316533305622,-3.0779128124171753,1.2896921330440513e-05
CD45RO,CD45RO_TotalC,66.53695774735307,-0.6204552121137077,5.5481776164187995e-05,227.51018402605015,1.954763113631616,4.0696368006086205e-35,31.66217883921359,-1.6975693176257645,5.056384370540949e-15,3.766447120684107,-4.739285527062703,3.5426737753662805e-41,111.18753424451897,0.3637503886901996,0.04293572779965243,5.007378156500052,-4.2586523317479905,3.3176121168297864e-15
PD-1,PD-1_TotalC,7.6819212049426655,-2.493389978800256,1.495447237119791e-22,8.42314305090508,-2.143795989952417,1.4790195031264223e-11,11.07931742803441,-1.6956114967632163,1.9513639092647563e-07,4.087190792761829,-3.092849126360478,1.4083711921524323e-10,140.251508635248,4.133751678571433,2.213642828242408e-74,4.7291904811389385,-2.81871743545449,0.00029351416677597675
TIGIT,TIGIT_TotalC,3.702497711250304,-3.542635192788685,5.8485868297557154e-18,7.1196178179287735,-2.3319429051461227,1.979121403906004e-06,5.949903179841922,-2.5671687146284285,1.0496857797774033e-06,6.433201651387453,-2.3644023707302373,0.001287368082639167,142.33109477381726,4.598798903305402,2.967185838203947e-41,14.95793731364759,-1.0775409415126473,0.5457434662319587
IgG1,IgG1_TotalC,6.64068026296053,-3.014531319771378,1.7725446006100148e-52,32.88201651329687,-0.27406550616856684,0.1948647071400199,6.395466705638303,-2.8097343775829096,3.518411224251231e-26,15.001639748320883,-1.4573100762750895,2.6792391097603323e-06,151.29742631330072,3.461029495061388,4.5671746932312285e-90,7.08308619573298,-2.5121053343900095,4.2913041460588615e-06
IgG2a,IgG2a_TotalC,4.995741115254711,-3.823137553481679,6.953742254409726e-51,32.78247458641504,-0.703062036633324,0.008284914331908439,5.879265059898593,-3.3055764869021456,1.1979712979062754e-22,30.6264386309642,-0.7567202603777847,0.0357648115913791,207.43118258989887,3.8041050559964136,8.722257434920202e-74,7.382672923044948,-2.817549492573412,6.454878641269501e-05
