Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
CD3,CD3_TotalC,60.303447323362086,-2.9909810446915577,8.170975392486881e-45,851.9754023560049,1.7086714855383356,1.2235641579217415e-32,478.0376542633709,0.31480819030474905,0.06035452891227357,795.3112895264089,1.1392497112243145,1.9186984375111733e-08,7.687387744872812,-5.849876411452243,2.608499708874926e-59,188.55416638520484,-1.2421281108774735,1.2501589366313516e-10,6.719302312568446,-5.975575593296709,5.211233544028916e-26
CD19,CD19_TotalC,14.134953617219443,-2.9285693354853435,8.736302484003605e-13,3.5817006520186427,-5.017708521175094,7.735169701704302e-33,3.997905954637134,-4.740823589337492,3.2428388108470247e-21,3.653387148291181,-4.759351792902474,6.34138244322017e-12,651.4898047979059,4.452974284524606,1.8479573236344486e-47,122.50972544339614,0.5667212001139532,0.07530801974221049,4.194214182367565,-4.497717393601421,5.162056555891819e-05
CD45RA,CD45RA_TotalC,105.67086552269384,-2.6615483363700116,1.4057124067440386e-35,676.2258525319794,0.3635349093989326,0.01917807672575192,899.9742586633012,0.8643727097444547,3.706660481494163e-07,33.842413397601554,-4.1921774499168984,2.0986843432503364e-35,1443.0577913760214,1.62086858181139,1.990120048961917e-16,160.37426726111394,-2.0178323981453223,5.024714673670717e-22,1453.059824618902,1.4518165102639706,4.0967809516155737e-07
CD4,CD4_TotalC,415.3126194097639,-0.2509678594806033,0.1621236242188518,984.136693976624,1.602766450028703,1.952844692477783e-29,12.857395916611544,-5.476292891899204,1.716072785442618e-96,1353.521639710793,1.7886041575286402,1.0293530519634008e-20,9.094412653328321,-5.869642371624025,1.4878417300297425e-62,216.33221311536926,-1.311569717575944,7.808012468717252e-12,36.699374095716195,-3.788251665740087,1.664081919957525e-15
CD8a,CD8a_TotalC,57.037524103286906,-2.2430266757110795,1.3241652090953655e-14,6.109281026214398,-5.60532161915961,2.2808967208242187e-66,1062.4489393822566,4.064380958539179,4.320490771947379e-84,11.300237376230436,-4.48455454713526,1.3199891517124043e-20,11.004612032357322,-4.528451107085862,8.362898318811863e-22,197.26934017848427,-0.26227722322557323,0.3620932548561658,72.17900223023366,-1.7359101506378032,0.003299825485441784
CD14,CD14_TotalC,894.2230499135027,6.1769881437652945,3.5032388488312116e-238,2.3467641221604425,-6.640924802099838,2.554574666432552e-101,9.017016147687015,-4.57208871791568,1.1609339275238132e-45,2.876070733761143,-6.1116871610298436,4.426011093385803e-36,2.199058797321192,-6.503835160187521,2.56922786508447e-41,40.83322637784932,-2.368750218444644,8.175084463546807e-19,3.2526558965299484,-5.869039746177039,2.1935812529442098e-15
CD16,CD16_TotalC,9.750368742662774,-2.633640046105326,1.1975381942981331e-05,2.0389917782705482,-5.008564988880447,8.29903052215495e-15,2.4878273467714775,-4.602241635659299,1.9206186557877483e-09,2.1084707744127296,-4.728795473444441,1.829318719524265e-05,4.481980006404633,-3.6434274607976938,0.0003290210572779943,63.90457694415046,0.4121779074747485,0.3620932548561658,853.4797880078978,5.756557872897663,3.813419502558711e-27
CD56,CD56_TotalC,12.163075446608012,-1.6257114748568071,1.0825034473209486e-05,5.589915195900201,-2.87312910059413,2.1571723060135146e-15,6.849673109779111,-2.466984273041548,2.7350333803666002e-09,5.917321205609919,-2.58863866353707,1.1587520841183341e-05,6.774219261239436,-2.3948620217407357,2.825068370866152e-05,116.14036499966222,3.0074918308321026,1.7291775015715395e-27,139.15803483640957,2.2872932650927496,1.472310779872814e-06
CD25,CD25_TotalC,18.63330069392677,-1.6622848491721829,2.4173406529409435e-09,6.036185094540548,-3.430246477752124,1.1873027786695745e-33,6.393390364956395,-3.236467263603591,1.1707445838408688e-22,29.732352855773975,-0.8553325785918737,0.019589937544985055,20.891058574551327,-1.3918237244017932,0.00022152545384110104,223.8217371071731,4.049517140978304,6.016386767220495e-86,6.398316533305622,-3.0779128124171753,1.2896921330440513e-05
CD45RO,CD45RO_TotalC,227.51018402605015,1.954763113631616,4.0696368006086205e-35,10.141098731172011,-3.508391921930255,1.212326959195965e-62,31.91263245039832,-1.685564021885221,7.403560952349592e-15,207.42688521734078,1.3867204909764723,4.371903343877784e-11,3.7831265750525596,-4.730568721923641,2.100059941706287e-40,111.18753424451897,0.3637503886901996,0.04293572779965243,5.007378156500052,-4.2586523317479905,3.3176121168297864e-15
PD-1,PD-1_TotalC,8.42314305090508,-2.143795989952417,1.4790195031264223e-11,4.1318437167218285,-3.280213233408347,2.4626586451311287e-26,11.048560749635776,-1.6999283524748243,1.822995121134777e-07,16.64428772612445,-1.0076753628600832,0.014508266873713826,4.0813040390961115,-3.0928309515929264,2.0695722293204733e-10,140.251508635248,4.133751678571433,2.213642828242408e-74,4.7291904811389385,-2.81871743545449,0.00029351416677597675
TIGIT,TIGIT_TotalC,7.1196178179287735,-2.3319429051461227,1.979121403906004e-06,2.8661299524746386,-3.756546352458805,2.2786990841037045e-14,5.926243745256947,-2.5731796417081103,9.96443279721877e-07,5.84930601933854,-2.497595860225696,0.0012043050220026442,6.485359842947245,-2.350626612931407,0.0015346898596623173,142.33109477381726,4.598798903305402,2.967185838203947e-41,14.95793731364759,-1.0775409415126473,0.5457434662319587
IgG1,IgG1_TotalC,32.88201651329687,-0.27406550616856684,0.1948647071400199,4.705069707216756,-3.371826987002587,3.5300626702446915e-47,6.371662615202933,-2.815339659345267,2.874704465631992e-26,11.543148755771073,-1.8426813497983732,1.6400186999641974e-08,15.169778483215682,-1.439171440097763,4.212172873416093e-06,151.29742631330072,3.461029495061388,4.5671746932312285e-90,7.08308619573298,-2.5121053343900095,4.2913041460588615e-06
IgG2a,IgG2a_TotalC,32.78247458641504,-0.703062036633324,0.008284914331908439,5.035924976898392,-3.643891374863269,1.324325028727286e-35,5.87192437087329,-3.307494942464002,1.1707445838408688e-22,4.965108597810621,-3.4483918721369493,2.0672989870458395e-13,31.001138214777995,-0.7372244666221937,0.042417237711447286,207.43118258989887,3.8041050559964136,8.722257434920202e-74,7.382672923044948,-2.817549492573412,6.454878641269501e-05
IgG2b,IgG2b_TotalC,7.209679561298046,-0.8325396291708818,0.0018857223053361728,1.6696649656026754,-3.1499331868682106,1.1872405066629865e-28,1.966361352688373,-2.8007929589712806,1.347686420278625e-17,1.6809467464212084,-2.9291991904588643,6.865361891234104e-11,3.764490483549838,-1.750373023284984,1.5266748643881987e-05,50.367174423753866,3.923318925303348,1.3430374827924031e-78,2.5892852860534457,-2.2466026959592713,0.0007848596516958138
CD127,CD127_TotalC,18.93666656632853,-2.247503075561591,9.265956664723535e-23,79.17828261997388,0.06889300968483969,0.6632693379827431,97.28599952112917,0.42784025154679917,0.024864954264091195,164.93682670809255,1.284242161564272,1.5645439843508446e-08,12.2998203917965,-2.7658631481166442,3.494581746154609e-17,118.18478905376293,0.8125055967756278,1.0872146660690459e-05,7.489668182799223,-3.4278871922830483,7.649093207800707e-10
CD15,CD15_TotalC,429.06362559472484,3.647135504298997,5.929999996960072e-71,6.105433871915774,-4.5280439205079634,3.2319142178495165e-50,18.10464748207278,-2.8183913663321,1.249982761017891e-18,7.76344769011876,-3.954433298838474,1.0075763023357429e-16,8.414195313478968,-3.8430023142439977,1.0996459713191053e-17,119.37527677076999,0.15397862538871188,0.4875776875961051,6.976090935978705,-4.050177763336762,8.887597049630669e-08
