Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
CD3,CD3_TotalC,60.303447323362086,-2.9909810446915577,8.170975392486881e-45,853.9297654783701,1.71685585778315,6.241143340073623e-33,793.9148201513079,1.1332357411327258,3.03619392327457e-08,419.7017378917379,0.07797088851072154,0.6349848608269609,7.687387744872812,-5.849876411452243,2.608499708874926e-59,682.549425329229,0.7831011892046416,0.012832780140672793,188.55416638520484,-1.2421281108774735,1.2501589366313516e-10,6.719302312568446,-5.975575593296709,5.211233544028916e-26
CD19,CD19_TotalC,14.134953617219443,-2.9285693354853435,8.736302484003605e-13,3.599254133974642,-5.011245206856291,7.147888631423727e-33,3.630271919577546,-4.766542129958626,9.176184108797016e-12,3.6331209531209527,-4.822623776561458,4.1886076405746496e-17,651.4898047979059,4.452974284524606,1.8479573236344486e-47,5.217373089743357,-4.1796358864329175,0.0008605446606712266,122.50972544339614,0.5667212001139532,0.07530801974221049,4.194214182367565,-4.497717393601421,5.162056555891819e-05
CD45RA,CD45RA_TotalC,105.67086552269384,-2.6615483363700116,1.4057124067440386e-35,675.3921636715319,0.3612587922720678,0.019900877745052975,31.419608869169792,-4.298001038198127,5.196483213412789e-36,1071.3338746438747,1.139481941160284,4.702525245095446e-10,1443.0577913760214,1.62086858181139,1.990120048961917e-16,278.178630626036,-1.069658313574923,0.016407890320039184,160.37426726111394,-2.0178323981453223,5.024714673670717e-22,1453.059824618902,1.4518165102639706,4.0967809516155737e-07
CD4,CD4_TotalC,415.3126194097639,-0.2509678594806033,0.1621236242188518,982.6386323589339,1.599916655413221,2.372992013501851e-29,1368.2869729922945,1.8040516288671125,5.6429140872379295e-21,9.651344211344211,-5.8337862709918795,7.117432666309341e-83,9.094412653328321,-5.869642371624025,1.4878417300297425e-62,38.30136973825614,-3.7234135410268543,7.447658718206068e-13,216.33221311536926,-1.311569717575944,7.808012468717252e-12,36.699374095716195,-3.788251665740087,1.664081919957525e-15
CD8a,CD8a_TotalC,57.037524103286906,-2.2430266757110795,1.3241652090953655e-14,6.126798659220442,-5.6018225642497015,2.0823056858487625e-66,9.036220321557153,-4.8061897641388995,3.4595844795531026e-22,1019.2568298368298,3.192008668755408,2.476265910871242e-45,11.004612032357322,-4.528451107085862,8.362898318811863e-22,1190.4143731443874,2.5993867149347585,4.237325587307209e-12,197.26934017848427,-0.26227722322557323,0.3620932548561658,72.17900223023366,-1.7359101506378032,0.003299825485441784
CD14,CD14_TotalC,894.2230499135027,6.1769881437652945,3.5032388488312116e-238,2.3470056305853855,-6.64144073369305,1.7593161386975323e-101,2.8213526331499406,-6.137301922846041,5.196483213412789e-36,10.42095571095571,-4.305839688878779,1.886607676223604e-33,2.199058797321192,-6.503835160187521,2.56922786508447e-41,4.047121181763538,-5.550943071316022,3.5762356270121173e-12,40.83322637784932,-2.368750218444644,8.175084463546807e-19,3.2526558965299484,-5.869039746177039,2.1935812529442098e-15
CD16,CD16_TotalC,9.750368742662774,-2.633640046105326,1.1975381942981331e-05,2.043546637432774,-5.005972074685093,8.077857859429786e-15,2.1308117788824728,-4.711584498764056,2.3486052523358318e-05,2.2533670033670035,-4.688653163896122,1.1917762495163607e-07,4.481980006404633,-3.6434274607976938,0.0003290210572779943,3.2181927469445006,-4.051581325600407,0.11958236589754748,63.90457694415046,0.4121779074747485,0.3620932548561658,853.4797880078978,5.756557872897663,3.813419502558711e-27
CD56,CD56_TotalC,12.163075446608012,-1.6257114748568071,1.0825034473209486e-05,5.58902322831708,-2.873945519480059,2.0322277377773457e-15,5.90905673866019,-2.5890204680045112,1.3805090799448791e-05,4.506734006734007,-3.036309310032375,1.41681584783885e-09,6.774219261239436,-2.3948620217407357,2.825068370866152e-05,15.091373563323074,-1.172475745158446,0.34475986393236513,116.14036499966222,3.0074918308321026,1.7291775015715395e-27,139.15803483640957,2.2872932650927496,1.472310779872814e-06
CD25,CD25_TotalC,18.63330069392677,-1.6622848491721829,2.4173406529409435e-09,6.065338609974343,-3.4237078682755757,1.3332366282650324e-33,30.048392029981535,-0.8384518894642845,0.023083788209800768,4.354198394198394,-3.7451955160334327,1.3277871685371734e-21,20.891058574551327,-1.3918237244017932,0.00022152545384110104,13.482277189850825,-1.994814327334896,0.007625157696543757,223.8217371071731,4.049517140978304,6.016386767220495e-86,6.398316533305622,-3.0779128124171753,1.2896921330440513e-05
CD45RO,CD45RO_TotalC,227.51018402605015,1.954763113631616,4.0696368006086205e-35,10.256145717942683,-3.4922913326831813,2.712380580068809e-62,208.95766250133582,1.396311217980167,4.0352493952325536e-11,7.55051282051282,-3.776518021950158,1.8173151296070635e-40,3.7831265750525596,-4.730568721923641,2.100059941706287e-40,119.90206007176556,0.38958774638964044,0.23889414952970467,111.18753424451897,0.3637503886901996,0.04293572779965243,5.007378156500052,-4.2586523317479905,3.3176121168297864e-15
