Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
CD3,CD3_TotalC,860.9830481069171,1.7437221360601605,5.696037585422957e-34,63.05370536947452,-2.79384024305595,5.056630318479955e-21,63.039523577529366,-2.7987751502529354,4.7827980389842195e-22,778.2121759871792,1.0960421641165983,1.0767455592142586e-07,423.5972429502789,0.09314151781838653,0.6124212762259164,7.687387744872812,-5.849876411452243,2.608499708874926e-59,188.55416638520484,-1.2421281108774735,1.2501589366313516e-10,702.3345199838359,0.8228094654196187,0.009515986737838628,6.719302312568446,-5.975575593296709,5.211233544028916e-26
CD19,CD19_TotalC,3.570048364479295,-5.024284715855032,4.5165621255183715e-33,8.996837527534405,-3.4564512785763895,1.0019587382220139e-08,18.76958037074008,-2.3855071989752332,1.923472303164718e-05,3.6516109796321485,-4.7566281881274035,1.3460069101625049e-11,3.6727882072631113,-4.804745744982109,6.939539335262079e-17,651.4898047979059,4.452974284524606,1.8479573236344486e-47,122.50972544339614,0.5667212001139532,0.07530801974221049,5.048319125598938,-4.2257893334119485,0.0011623904844287492,4.194214182367565,-4.497717393601421,5.162056555891819e-05
CD45RA,CD45RA_TotalC,674.0075108033083,0.35750148483576893,0.021137356840339044,147.92166063447766,-2.0393481357786767,1.4522243476788728e-12,92.27921000541697,-2.7385121063000453,2.1843947941958356e-20,29.661856400126712,-4.380053089929294,2.1749019346954955e-36,1072.0055717016207,1.137751000182881,5.897119407829503e-10,1443.0577913760214,1.62086858181139,1.990120048961917e-16,160.37426726111394,-2.0178323981453223,5.024714673670717e-22,248.19185252179267,-1.237364487978362,0.007591844708554931,1453.059824618902,1.4518165102639706,4.0967809516155737e-07
CD4,CD4_TotalC,977.7297584637839,1.5885106371879925,5.710662992838638e-29,439.65999702522186,-0.144192006696521,0.5865286158760792,387.37568351157154,-0.3438829578420002,0.1808742651963808,1383.7909509345357,1.8217509397011042,2.9712960569137995e-21,6.651671772314298,-6.369310674697306,5.747325877682278e-92,9.094412653328321,-5.869642371624025,1.4878417300297425e-62,216.33221311536926,-1.311569717575944,7.808012468717252e-12,34.82309927453961,-3.8602006975699554,8.165868220350287e-13,36.699374095716195,-3.788251665740087,1.664081919957525e-15
CD8a,CD8a_TotalC,6.075211058008757,-5.615287990860196,8.472003810123119e-67,64.80756726894118,-1.9363939031055812,1.2553455497130353e-06,62.920959658763756,-1.9841159259115946,6.85259105395307e-07,9.109073290721724,-4.793150627097283,7.202475514817266e-22,1030.4974576493075,3.210259060051788,1.1559319083279518e-45,11.004612032357322,-4.528451107085862,8.362898318811863e-22,197.26934017848427,-0.26227722322557323,0.3620932548561658,1213.6828852925894,2.616393340579653,1.3083846449548492e-11,72.17900223023366,-1.7359101506378032,0.003299825485441784
CD14,CD14_TotalC,2.3404501616918982,-6.646696237227253,7.388740072120868e-102,896.3371946425661,3.0869064605393763,9.30673147152267e-44,864.303606896951,3.0319576242981974,6.038589677610296e-43,2.8534446452863236,-6.119518129764316,1.8169486539555427e-35,5.915712303301652,-5.124531100906088,1.4144547491470775e-40,2.199058797321192,-6.503835160187521,2.56922786508447e-41,40.83322637784932,-2.368750218444644,8.175084463546807e-19,4.1725902976889175,-5.505699087170923,1.6529162974084065e-11,3.2526558965299484,-5.869039746177039,2.1935812529442098e-15
CD16,CD16_TotalC,2.0416692899865496,-5.008497522647106,7.210546416225229e-15,8.589183140090801,-2.6930272393668484,0.0016806170200097195,10.57042937302612,-2.3928010050121156,0.005269811136592561,2.1350949443750813,-4.707210489447336,2.753082947669363e-05,2.306006336239625,-4.6530780649628,1.6954046800187086e-07,4.481980006404633,-3.6434274607976938,0.0003290210572779943,63.90457694415046,0.4121779074747485,0.3620932548561658,3.1165643581503644,-4.096159645232101,0.14802480025492168,853.4797880078978,5.756557872897663,3.813419502558711e-27
CD56,CD56_TotalC,5.5619208425149536,-2.8823010905316173,1.6077331278801207e-15,8.958916189167557,-1.9807629583263813,0.0002010829243085618,14.957294367353612,-1.218731279353149,0.016617321010497628,5.946339190876395,-2.578589671205785,1.6847136722895612e-05,4.583976121278768,-3.0094317645245523,2.304181990387899e-09,6.774219261239436,-2.3948620217407357,2.825068370866152e-05,116.14036499966222,3.0074918308321026,1.7291775015715395e-27,15.50555160005388,-1.133025257911764,0.40252653526036186,139.15803483640957,2.2872932650927496,1.472310779872814e-06
CD25,CD25_TotalC,6.090533153993647,-3.41866687413684,1.1619275873553839e-33,15.035810662454757,-1.8808687991838613,1.953665301801644e-06,23.138204762180557,-1.2397529134074654,0.001103802290875121,30.260481150886083,-0.8271851336320459,0.025775291084159064,4.44379336527636,-3.7134669017342383,3.505236237447902e-21,20.891058574551327,-1.3918237244017932,0.00022152545384110104,223.8217371071731,4.049517140978304,6.016386767220495e-86,9.195152693055208,-2.5495069045235925,0.0013267752239753587,6.398316533305622,-3.0779128124171753,1.2896921330440513e-05
CD45RO,CD45RO_TotalC,10.32326216981942,-3.483738091471247,3.2290598649111823e-62,216.39811739041127,1.471617599432494,1.5531432265102495e-12,232.6406492210097,1.6211677722956903,1.1054783799407556e-15,210.54630192124927,1.4072707471886527,3.311526232686595e-11,5.964776267902495,-4.117488050619911,4.75815904586552e-44,3.7831265750525596,-4.730568721923641,2.100059941706287e-40,111.18753424451897,0.3637503886901996,0.04293572779965243,125.51254642369196,0.45589985607952155,0.1751156386756209,5.007378156500052,-4.2586523317479905,3.3176121168297864e-15
