feature_type,feature_id,feature_name,index,genome,num_barcodes,num_reads,num_umis,dup_frac,num_barcodes_cells,num_reads_cells,num_umis_cells,dup_frac_cells
Gene Expression,ENSG00000243485,MIR1302-2HG,0,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000237613,FAM138A,1,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000186092,OR4F5,2,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000238009,AL627309.1,3,GRCh38,5,11,5,0.5454545454545454,5,11,5,0.5454545454545454
Gene Expression,ENSG00000239945,AL627309.3,4,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000239906,AL627309.2,5,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000241860,AL627309.5,6,GRCh38,50,88,52,0.40909090909090906,48,83,50,0.3975903614457831
Gene Expression,ENSG00000241599,AL627309.4,7,GRCh38,1,4,1,0.75,0,0,0,0.0
Gene Expression,ENSG00000286448,AP006222.2,8,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000236601,AL732372.1,9,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284733,OR4F29,10,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000235146,AC114498.1,11,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000284662,OR4F16,12,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000229905,AL669831.2,13,GRCh38,0,0,0,0.0,0,0,0,0.0
Gene Expression,ENSG00000237491,LINC01409,14,GRCh38,431,1024,444,0.56640625,416,997,428,0.5707121364092277
Gene Expression,ENSG00000177757,FAM87B,15,GRCh38,4,8,4,0.5,4,8,4,0.5
Gene Expression,ENSG00000228794,LINC01128,16,GRCh38,407,1746,437,0.7497136311569301,396,1723,426,0.7527568195008706
Gene Expression,ENSG00000225880,LINC00115,17,GRCh38,118,453,121,0.7328918322295805,114,436,117,0.731651376146789
Gene Expression,ENSG00000230368,FAM41C,18,GRCh38,84,143,86,0.39860139860139865,82,140,84,0.4
Gene Expression,ENSG00000272438,AL645608.6,19,GRCh38,0,0,0,0.0,0,0,0,0.0
