feature_type,feature_id,feature_name,index,genome,num_umis,num_reads,num_barcodes,dup_frac,num_umis_cells,num_reads_cells,num_barcodes_cells,dup_frac_cells
Antibody Capture,Ag_APC-C0956,Ag_APC-C0956,0,,57251,112409,7946,0.49069024722219756,36834,78210,33,0.5290372075182201
Antibody Capture,Ag_APC-C0957,Ag_APC-C0957,1,,46,82,24,0.4390243902439024,31,51,10,0.3921568627450981
Antibody Capture,Ag_APC-C0958,Ag_APC-C0958,2,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_APC-C0959,Ag_APC-C0959,3,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_APC-C0960,Ag_APC-C0960,4,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0951,Ag_PE-C0951,5,,13836,25070,5609,0.4481053051455923,2617,4815,7,0.45649013499480784
Antibody Capture,Ag_PE-C0952,Ag_PE-C0952,6,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0953,Ag_PE-C0953,7,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0954,Ag_PE-C0954,8,,1,5,1,0.8,0,0,0,0.0
Antibody Capture,Ag_PE-C0955_10xChemSnd015,Ag_PE-C0955,9,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0961,Ag_PE-C0961,10,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0962,Ag_PE-C0962,11,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0963,Ag_PE-C0963,12,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0964,Ag_PE-C0964,13,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Ag_PE-C0965,Ag_PE-C0965,14,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,ALIAPVHAV-A0201-neg_ctrl_Immudex,ALIAPVHAV-A0201-neg_ctrl_Immudex,15,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Armenian_Hamster_IgG_Isotype_Ctrl,Armenian_Hamster_IgG_Isotype_Ctrl,16,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,Biotin,TotalSeq-C0436_anti-Biotin,17,,0,0,0,0.0,0,0,0,0.0
Antibody Capture,CD101,anti-human_CD101_(BB27),18,,0,0,0,0.0,0,0,0,0.0
