Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-3.5992467267274044,0.0017475800045252017,0.0,-1.2238960119268363,1.0,0.0,-1.2782392774451257,0.9314545126633448,0.0,-0.7571434761038365,0.5082684891993946,0.0,-0.016192033502584913,1.0,0.0,0.4214637684382767,1.0,0.0,0.3511400161038498,1.0,1.0,8.829722735086058,1.380484193942204e-17,0.0,1.0286954330004652,1.0,0.0,1.8548683832602366,1.0
ENSG00000280071,GATD3B,0.0,-3.5061373223359222,0.0026471800778921427,0.0,-1.130786607535354,1.0,0.0,-1.1851298730536444,0.9314545126633448,0.0,-0.6640340717123552,0.6996423494959512,0.037037037037037035,1.17645304443981,1.0,0.0,0.514573172829758,1.0,0.6190476190476191,7.1584949381614535,2.9761343177003154e-13,0.0,0.9228321394775403,1.0,0.0,1.1218048373919474,1.0,0.0,1.947977787651718,1.0
ENSG00000275464,FP565260.1,0.0,-4.299686444868496,2.197435473735578e-05,0.0,-1.924335730067928,0.508587771508077,0.0,-1.9786789955862183,0.6897777461547266,0.0,-1.457583194244929,0.2483213015772699,0.9259259259259259,8.684247684638507,7.80805878711128e-24,0.0,-0.2789759497028159,1.0,0.0,-0.3492997020372428,1.0,0.0,0.12928301694496636,1.0,0.0,0.32825571485937344,1.0,0.0,1.154428665119144,1.0
ENSG00000280433,FP565260.6,0.0,-5.457227721854976,1.807432334274333e-11,0.0,-3.0818770070544077,0.027410136784218726,0.9016393442622951,6.944153143891321,1.9268944266269024e-32,0.0,-2.615124471231409,0.026244700089437953,0.0,-1.8741730286301577,0.732687685528461,0.05,-0.411426245726465,1.0,0.047619047619047616,-0.4817499980608919,1.0,0.0,-1.0282582600415133,1.0,0.0,-0.8292855621271067,1.0,0.0,-0.0031126118673356906,1.0
ENSG00000279094,LINC01670,0.0,-1.9211748216147662,0.242435533082473,0.0,0.454175893185802,1.0,0.0,0.3998326276675117,1.0,0.09090909090909091,5.564784618783525,0.0004922584295526744,0.0,1.6618798716100525,1.0,0.0,2.099535673550914,1.0,0.0,2.029211921216487,1.0,0.0,2.5077946401986964,1.0,0.0,2.7067673381131034,1.0,0.0,3.532940288372874,1.0
ENSG00000274333,CU633967.1,0.0,-3.406601648785008,0.004133955479142247,0.0,-1.03125093398444,1.0,0.0,-1.0855941995027303,1.0,0.0,-0.5644983981614411,0.6996423494959512,0.0,0.17645304443981047,1.0,0.0,0.6141088463806721,1.0,0.0,0.5437850940462452,1.0,0.0,1.0223678130284544,1.0,1.0,8.83605035505807,5.719687263160842e-16,0.0,2.047513461202632,1.0
ENSG00000279064,FP236315.1,0.0,-1.1842092274485605,0.6448145921001649,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.045454545454545456,4.827819024617319,0.021366730894737365,0.0,2.398845465776258,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0,0.0,3.244760234364902,1.0,0.0,3.443732932279309,1.0,0.0,4.2699058825390805,1.0
ENSG00000275993,SIK1B,0.0,-5.553443037114279,4.4445661425289e-12,0.9661016949152542,6.312156888313374,1.0829696629939217e-31,0.06557377049180328,-0.8142921776853358,0.9314545126633448,0.0,-2.711339786490712,0.021366730894737365,0.0,-1.9703883438894607,0.6997524866478217,0.0,-1.5327325419485986,1.0,0.0,-1.6030562942830255,1.0,0.0,-1.1244735753008164,1.0,0.0,-0.9255008773864097,1.0,0.0,-0.09932792712663874,1.0
ENSG00000288187,CU633906.5,0.0,-1.1842092274485605,0.6448145921001649,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.045454545454545456,4.827819024617319,0.021366730894737365,0.0,2.398845465776258,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0,0.0,3.244760234364902,1.0,0.0,3.443732932279309,1.0,0.0,4.2699058825390805,1.0
ENSG00000275496,CU633906.1,0.0,-0.5992467267274044,1.0,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.022727272727272728,4.242856523896163,0.13030087656953368,0.0,2.983807966497415,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0,0.0,3.829722735086059,1.0,0.0,4.028695433000465,1.0,0.0,4.854868383260237,1.0
