Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000277117,FP565260.3,0.03731343283582089,1.4328268127223716,0.8442197974710585,0.0,-1.4328268127223716,0.8442197974710585
ENSG00000280071,GATD3B,0.03482587064676617,1.3397174083308903,0.8442197974710585,0.0,-1.3397174083308903,0.8442197974710585
ENSG00000275464,FP565260.1,0.06218905472636816,2.1332665308634637,0.4399894942175175,0.0,-2.1332665308634637,0.4399894942175175
ENSG00000280433,FP565260.6,0.1318407960199005,0.865786219998478,0.8442197974710585,0.05970149253731343,-0.865786219998478,0.8442197974710585
ENSG00000279094,LINC01670,0.009950248756218905,-0.24524509239026582,1.0,0.0,0.24524509239026582,1.0
ENSG00000274333,CU633967.1,0.03233830845771144,1.2401817347799762,0.8442197974710585,0.0,-1.2401817347799762,0.8442197974710585
ENSG00000279064,FP236315.1,0.004975124378109453,-0.9822106865564724,1.0,0.0,0.9822106865564724,1.0
ENSG00000275993,SIK1B,0.0,-8.521369497664503,5.961703462985945e-37,0.9104477611940298,8.521369497664503,5.961703462985945e-37
ENSG00000288187,CU633906.5,0.004975124378109453,-0.9822106865564724,1.0,0.0,0.9822106865564724,1.0
ENSG00000275496,CU633906.1,0.0024875621890547263,-1.5671731872776284,1.0,0.0,1.5671731872776284,1.0
ENSG00000275895,U2AF1L5,0.5124378109452736,3.5413512695005407,1.7315910475685926e-06,0.029850746268656716,-3.5413512695005407,1.7315910475685926e-06
ENSG00000280145,CU638689.4,0.017412935323383085,0.43282681272237156,1.0,0.0,-0.43282681272237156,1.0
ENSG00000280164,CU638689.5,0.017412935323383085,0.43282681272237156,1.0,0.0,-0.43282681272237156,1.0
ENSG00000280018,CU634019.5,0.009950248756218905,-0.24524509239026582,1.0,0.0,0.24524509239026582,1.0
ENSG00000273590,SMIM11B,0.0472636815920398,1.7547549076097342,0.7016779878968512,0.0,-1.7547549076097342,0.7016779878968512
ENSG00000277277,FAM243B,0.007462686567164179,-0.5671731872776284,1.0,0.0,0.5671731872776284,1.0
ENSG00000278961,SMIM34B,0.014925373134328358,0.24018173477997617,1.0,0.0,-0.24018173477997617,1.0
ENSG00000276289,KCNE1B,0.017412935323383085,0.43282681272237156,1.0,0.0,-0.43282681272237156,1.0
ENSG00000280800,FP671120.6,0.007462686567164179,-0.5671731872776284,1.0,0.0,0.5671731872776284,1.0
ENSG00000280614,FP236383.4,0.0024875621890547263,-1.5671731872776284,1.0,0.0,1.5671731872776284,1.0
ENSG00000160201,U2AF1,0.004975124378109453,-0.9822106865564724,1.0,0.0,0.9822106865564724,1.0
ENSG00000241945,PWP2,0.0024875621890547263,-1.5671731872776284,1.0,0.0,1.5671731872776284,1.0
ENSG00000160221,GATD3A,0.012437810945273632,0.017789313443527632,1.0,0.0,-0.017789313443527632,1.0
ENSG00000225331,LINC01678,0.0024875621890547263,-1.5671731872776284,1.0,0.0,1.5671731872776284,1.0
ENSG00000160223,ICOSLG,0.0024875621890547263,-1.5671731872776284,1.0,0.0,1.5671731872776284,1.0
