Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-4.165586065717975,8.96040922589452e-05,0.15463917525773196,5.928321976140029,2.585584410109215e-09,0.0,-1.3826160215864665,0.9501917797068924,0.0,-1.2238960119268363,1.0
ENSG00000280071,GATD3B,0.056451612903225805,3.7413045298905434,0.0007404165218793298,0.0,-1.978568619468489,0.13202909972611318,0.0,-1.2895066171949852,0.9501917797068924,0.0,-1.130786607535354,1.0
ENSG00000275464,FP565260.1,0.10080645161290322,4.534853652423117,2.6384997623525266e-06,0.0,-2.772117742001063,0.015377916672572304,0.0,-2.0830557397275586,0.4368894436058786,0.0,-1.924335730067928,0.508587771508077
ENSG00000280433,FP565260.6,0.0,-6.023567060845547,1.9295045689961704e-15,0.0,-3.9296590189875427,7.916890825222836e-05,0.8769230769230769,8.475364973541106,1.8285644019578837e-35,0.0,-3.0818770070544077,0.027410136784218726
ENSG00000279094,LINC01670,0.0,-2.487514160605338,0.09280428559901877,0.041237113402061855,4.250250071027391,0.004544607538039965,0.0,0.2954558835261718,1.0,0.0,0.454175893185802,1.0
ENSG00000274333,CU633967.1,0.0,-3.9729409877755795,0.0003022347757413552,0.13402061855670103,5.735676898197633,2.955524687746402e-08,0.0,-1.1899709436440702,0.9501917797068924,0.0,-1.03125093398444,1.0
ENSG00000279064,FP236315.1,0.0,-1.7505485664391314,0.28152297368493634,0.020618556701030927,3.513284476861185,0.06231353427618581,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000275993,SIK1B,0.0,-6.119782376104851,3.489392638331523e-16,0.0,-4.025874334246845,5.586378732622683e-05,0.06153846153846154,-0.9186689218266761,0.9501917797068924,0.9661016949152542,6.312156888313374,1.0829696629939217e-31
ENSG00000288187,CU633906.5,0.0,-1.7505485664391314,0.28152297368493634,0.020618556701030927,3.513284476861185,0.06231353427618581,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000275496,CU633906.1,0.0,-1.1655860657179753,0.4712153518123633,0.010309278350515464,2.9283219761400288,0.21544065387348765,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000275895,U2AF1L5,0.8185483870967742,4.921876775532365,3.6644212336746202e-28,0.010309278350515464,-4.772117742001063,1.3539720565733073e-11,0.03076923076923077,-3.4911404783646356,3.926777382828301e-06,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05
ENSG00000280145,CU638689.4,0.0,-3.1655860657179753,0.014765488325166644,0.07216494845360824,4.928321976140029,7.916890825222836e-05,0.0,-0.38261602158646646,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280164,CU638689.5,0.0,-3.1655860657179753,0.014765488325166644,0.07216494845360824,4.928321976140029,7.916890825222836e-05,0.0,-0.38261602158646646,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280018,CU634019.5,0.0,-2.487514160605338,0.09280428559901877,0.041237113402061855,4.250250071027391,0.004544607538039965,0.0,0.2954558835261718,1.0,0.0,0.454175893185802,1.0
ENSG00000273590,SMIM11B,0.0,-4.487514160605338,7.322780587912488e-06,0.18556701030927836,5.176249489583615,1.0143574458647209e-09,0.015384615384615385,-0.6305435350300517,1.0,0.0,-1.545824106814198,0.8844381278545037
ENSG00000277277,FAM243B,0.0,-2.1655860657179753,0.16876030480502943,0.030927835051546393,3.9283219761400288,0.016398872130914302,0.0,0.6173839784135335,1.0,0.0,0.7761039880731637,1.0
ENSG00000278961,SMIM34B,0.0,-2.97294098777558,0.02762136855447032,0.061855670103092786,4.735676898197633,0.00030752292248881956,0.0,-0.1899709436440702,1.0,0.0,-0.03125093398444001,1.0
ENSG00000276289,KCNE1B,0.024193548387096774,1.6417688563396293,0.19962183997524724,0.0,-1.0716780238599704,0.36596364375238405,0.015384615384615385,0.8100290563559298,1.0,0.0,-0.22389601192683628,1.0
ENSG00000280800,FP671120.6,0.0,-2.1655860657179753,0.16876030480502943,0.030927835051546393,3.9283219761400288,0.016398872130914302,0.0,0.6173839784135335,1.0,0.0,0.7761039880731637,1.0
ENSG00000280614,FP236383.4,0.0,-1.1655860657179753,0.4712153518123633,0.010309278350515464,2.9283219761400288,0.21544065387348765,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160201,U2AF1,0.0,-1.7505485664391314,0.28152297368493634,0.020618556701030927,3.513284476861185,0.06231353427618581,0.0,1.0324214776923775,1.0,0.0,1.1911414873520076,1.0
ENSG00000241945,PWP2,0.0,-1.1655860657179753,0.4712153518123633,0.010309278350515464,2.9283219761400288,0.21544065387348765,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160221,GATD3A,0.0,-2.7505485664391314,0.05227190513222558,0.05154639175257732,4.513284476861185,0.001222099844218748,0.0,0.032421477692377465,1.0,0.0,0.19114148735200764,1.0
ENSG00000225331,LINC01678,0.0,-1.1655860657179753,0.4712153518123633,0.010309278350515464,2.9283219761400288,0.21544065387348765,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
ENSG00000160223,ICOSLG,0.0,-1.1655860657179753,0.4712153518123633,0.010309278350515464,2.9283219761400288,0.21544065387348765,0.0,1.6173839784135335,1.0,0.0,1.7761039880731637,1.0
