Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000277117,FP565260.3,0.0,-3.5992467267274044,0.0017475800045252017,0.14150943396226415,5.76632765379755,8.21972375915955e-09,0.0,-1.2238960119268363,1.0,0.0,-1.2782392774451257,0.9314545126633448,0.0,0.4214637684382767,1.0,0.0,0.3511400161038498,1.0
ENSG00000280071,GATD3B,0.0,-3.5061373223359222,0.0026471800778921427,0.009433962264150943,-1.0410272682600556,0.3625462379768883,0.0,-1.130786607535354,1.0,0.0,-1.1851298730536444,0.9314545126633448,0.0,0.514573172829758,1.0,0.6190476190476191,7.1584949381614535,2.9761343177003154e-13
ENSG00000275464,FP565260.1,0.0,-4.299686444868496,2.197435473735578e-05,0.2358490566037736,6.466767371938642,1.1665681207904676e-13,0.0,-1.924335730067928,0.508587771508077,0.0,-1.9786789955862183,0.6897777461547266,0.0,-0.2789759497028159,1.0,0.0,-0.3492997020372428,1.0
ENSG00000280433,FP565260.6,0.0,-5.457227721854976,1.807432334274333e-11,0.0,-4.091653341330023,2.0020416680032635e-05,0.0,-3.0818770070544077,0.027410136784218726,0.9016393442622951,6.944153143891321,1.9268944266269024e-32,0.05,-0.411426245726465,1.0,0.047619047619047616,-0.4817499980608919,1.0
ENSG00000279094,LINC01670,0.0,-1.9211748216147662,0.242435533082473,0.03773584905660377,4.088255748684912,0.0063636012768573955,0.0,0.454175893185802,1.0,0.0,0.3998326276675117,1.0,0.0,2.099535673550914,1.0,0.0,2.029211921216487,1.0
ENSG00000274333,CU633967.1,0.0,-3.406601648785008,0.004133955479142247,0.12264150943396226,5.573682575855154,8.202664593702029e-08,0.0,-1.03125093398444,1.0,0.0,-1.0855941995027303,1.0,0.0,0.6141088463806721,1.0,0.0,0.5437850940462452,1.0
ENSG00000279064,FP236315.1,0.0,-1.1842092274485605,0.6448145921001649,0.018867924528301886,3.351290154518706,0.0740422537303562,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0
ENSG00000275993,SIK1B,0.0,-5.553443037114279,4.4445661425289e-12,0.0,-4.187868656589327,1.3275900287591597e-05,0.9661016949152542,6.312156888313374,1.0829696629939217e-31,0.06557377049180328,-0.8142921776853358,0.9314545126633448,0.0,-1.5327325419485986,1.0,0.0,-1.6030562942830255,1.0
ENSG00000288187,CU633906.5,0.0,-1.1842092274485605,0.6448145921001649,0.018867924528301886,3.351290154518706,0.0740422537303562,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0
ENSG00000275496,CU633906.1,0.0,-0.5992467267274044,1.0,0.009433962264150943,2.766327653797549,0.24566607954018638,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0
ENSG00000275895,U2AF1L5,1.0,5.258734268400168,1.4517425952138409e-36,0.018867924528301886,-4.342196802980619,4.927272804260173e-12,0.03389830508474576,-3.332420468705005,2.2546858666401366e-05,0.03278688524590164,-3.3867637342232952,1.4171637339404323e-05,0.0,-3.2858953636426063,0.07461302868935138,0.0,-3.356219115977033,0.04093472707130917
ENSG00000280145,CU638689.4,0.0,-2.5992467267274044,0.055600259408220824,0.0660377358490566,4.76632765379755,0.00014070037718087288,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.0,1.4214637684382767,1.0,0.0,1.3511400161038498,1.0
ENSG00000280164,CU638689.5,0.0,-2.5992467267274044,0.055600259408220824,0.0660377358490566,4.76632765379755,0.00014070037718087288,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.0,1.4214637684382767,1.0,0.0,1.3511400161038498,1.0
ENSG00000280018,CU634019.5,0.0,-1.9211748216147662,0.242435533082473,0.03773584905660377,4.088255748684912,0.0063636012768573955,0.0,0.454175893185802,1.0,0.0,0.3998326276675117,1.0,0.0,2.099535673550914,1.0,0.0,2.029211921216487,1.0
ENSG00000273590,SMIM11B,0.0,-3.921174821614766,0.0002356217736140078,0.0,-2.5556004410898137,0.026142591269795092,0.0,-1.545824106814198,0.8844381278545037,0.0,-1.6001673723324883,0.9314545126633448,0.95,8.74339186332564,2.790471130110894e-20,0.0,0.02921192121648719,1.0
ENSG00000277277,FAM243B,0.0,-1.5992467267274044,0.3991925383308168,0.02830188679245283,3.766327653797549,0.022675911890577327,0.0,0.7761039880731637,1.0,0.0,0.7217607225548743,1.0,0.0,2.4214637684382767,1.0,0.0,2.35114001610385,1.0
ENSG00000278961,SMIM34B,0.0,-2.406601648785008,0.09115919543298365,0.05660377358490566,4.573682575855154,0.0005053002348971799,0.0,-0.03125093398444001,1.0,0.0,-0.08559419950273028,1.0,0.0,1.614108846380672,1.0,0.0,1.5437850940462452,1.0
ENSG00000276289,KCNE1B,0.0,-2.5992467267274044,0.055600259408220824,0.0,-1.233672346202451,0.36984943303522866,0.0,-0.22389601192683628,1.0,0.0,-0.27823927744512567,1.0,0.0,1.4214637684382767,1.0,0.3333333333333333,7.351140016103849,2.707096997801259e-08
ENSG00000280800,FP671120.6,0.0,-1.5992467267274044,0.3991925383308168,0.02830188679245283,3.766327653797549,0.022675911890577327,0.0,0.7761039880731637,1.0,0.0,0.7217607225548743,1.0,0.0,2.4214637684382767,1.0,0.0,2.35114001610385,1.0
ENSG00000280614,FP236383.4,0.0,-0.5992467267274044,1.0,0.009433962264150943,2.766327653797549,0.24566607954018638,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0
ENSG00000160201,U2AF1,0.0,-1.1842092274485605,0.6448145921001649,0.018867924528301886,3.351290154518706,0.0740422537303562,0.0,1.1911414873520076,1.0,0.0,1.1367982218337174,1.0,0.0,2.8365012677171197,1.0,0.0,2.7661775153826937,1.0
ENSG00000241945,PWP2,0.0,-0.5992467267274044,1.0,0.009433962264150943,2.766327653797549,0.24566607954018638,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0
ENSG00000160221,GATD3A,0.0,-2.1842092274485605,0.15234394182913744,0.04716981132075472,4.351290154518706,0.0018546887910141766,0.0,0.19114148735200764,1.0,0.0,0.13679822183371737,1.0,0.0,1.8365012677171197,1.0,0.0,1.7661775153826937,1.0
ENSG00000225331,LINC01678,0.0,-0.5992467267274044,1.0,0.009433962264150943,2.766327653797549,0.24566607954018638,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0
ENSG00000160223,ICOSLG,0.0,-0.5992467267274044,1.0,0.009433962264150943,2.766327653797549,0.24566607954018638,0.0,1.7761039880731637,1.0,0.0,1.7217607225548743,1.0,0.0,3.4214637684382767,1.0,0.0,3.35114001610385,1.0
