Feature,Normalized.Dispersion
ENSG00000277117,0.9999999999999998
ENSG00000280071,-1.0
ENSG00000275464,nan
ENSG00000280433,nan
ENSG00000279094,nan
ENSG00000274333,nan
ENSG00000279064,nan
ENSG00000275993,-1.000000000000001
ENSG00000288187,nan
ENSG00000275496,nan
ENSG00000275895,0.9999999999999989
ENSG00000280145,nan
ENSG00000280164,nan
ENSG00000280018,nan
ENSG00000273590,nan
ENSG00000277277,nan
ENSG00000278961,1.0000000000000002
ENSG00000276289,-1.0
ENSG00000280800,nan
ENSG00000280614,nan
ENSG00000160201,nan
ENSG00000241945,nan
ENSG00000160221,nan
ENSG00000225331,nan
ENSG00000160223,nan
