Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSG00000278932,CR381653.1,0,-2.4243512504184714,0.21614180011855585,0,-2.415836997797994,0.21515272239068756,0.07392197125256676,3.667432612252776,0.0003464674172537413,0.006306937631394534,-0.8976272724146916,0.7070466531060752,0.025531914893617016,0.9647170230747104,1,0,4.907291288581764,1
ENSG00000274391,TPTE,0,-2.231706172476075,0.2715313593457085,0,-2.2231919198555987,0.27094873752847143,0.00616016427104723,-0.733446824029409,0.9931953741039673,0.06306937631394534,3.4686949418311244,0.001161134359706618,0.012765957446808508,0.4866697262700663,1,1.5,6.206851570440672,0.3580771374584562
ENSG00000277282,IGHV1OR21-1,0,0.5756487495815286,1,0,0.5841630022020059,1,0.00616016427104723,2.9669928941116828,0.5541955613493158,0,1.009263323193828,1,0,2.187109444411159,1,0,7.907291288581764,1
ENSG00000224905,AP001347.1,0.009977827050997787,1.1606112503026846,0.871716446048721,0,-1.0007994985191502,0.6807350250230642,0.00616016427104723,0.645064799224321,1,0.006306937631394534,0.6873352283064644,1,0,0.602146943690002,1,1.5,7.585363193694402,0.2886410671378873
ENSG00000185272,RBM11,0.004988913525498894,0.9906862488603725,0.7837200611934138,0.010022271714922053,2.169125502923162,0.5258534991714409,0,-0.033007105888316346,1,0,0.009263323193827055,1,0,1.187109444411158,1,0,6.907291288581764,1
ENSG00000155304,HSPA13,0.029933481152993362,-0.7462793453058341,0.5373091525921393,0.10022271714922054,1.584163002202005,0.03789129277733451,0.03696098562628338,-0.3549352007756781,1,0.03784162578836721,-0.3126647716935347,0.9926526523692527,0.025531914893617016,-0.5133302737299337,1,0,3.54973928396368,1
ENSG00000155307,SAMSN1,0.08980044345898008,-0.26388657822522577,0.9009413485015677,0.2255011135857462,1.7501729536409347,0.0034717584170812473,0.04312114989733061,-1.3367878540654194,0.1975605460166604,0.08199018920812895,-0.3732063136285855,0.9315788632859786,0.025531914893617016,-1.620245477646446,0.6502474150555125,0,2.4810265338796658,1
ENSG00000226751,AF127936.1,0,0.5756487495815286,1,0,0.5841630022020059,1,0.00616016427104723,2.9669928941116828,0.5541955613493158,0,1.009263323193828,1,0,2.187109444411159,1,0,7.907291288581764,1
ENSG00000281903,LINC02246,0.004988913525498894,2.5756487495815286,0.49421987621738067,0,0.5841630022020059,1,0,0.9669928941116828,1,0,1.009263323193828,1,0,2.187109444411159,1,0,7.907291288581764,1
ENSG00000180530,NRIP1,0.06984478935698452,-0.37544164993752505,0.787414330779142,0.08518930957683746,-0.027271709880341888,1,0.02464065708418892,-1.7985418522512933,0.09376620438833948,0.20812894183601963,1.8113239455819183,0.003235422890168308,0.038297872340425525,-0.9214150123670106,1,0,2.7373662871394515,1
ENSG00000155313,USP25,0.08481152993348119,0.38802174640575693,0.7695905891212839,0.055122494432071296,-0.38546334875447563,0.8356934505602436,0.07392197125256676,0.14387065619576278,1,0.10091100210231255,0.7044087416654068,0.5629504097791567,0.012765957446808508,-1.6457805697535832,0.6686673892040833,0,3.049310293454191,1
ENSG00000154639,CXADR,0,0.5756487495815286,1,0.0050111358574610266,2.584163002202006,0.5713876031169279,0,0.9669928941116828,1,0,1.009263323193828,1,0,2.187109444411159,1,0,7.907291288581764,1
ENSG00000154640,BTG3,0.059866962305986725,-0.3088740329985358,0.9009413485015677,0.09020044543429849,0.4397730928668304,0.7200220164313389,0.11088295687885014,0.8226029847765091,0.44541163165199055,0.03153468815697267,-1.1871338896096764,0.49860027516771926,0.07659574468085105,0.239576864305294,1,0,3.000400692973245,1
ENSG00000280594,BTG3-AS1,0.029933481152993362,4.383003671639132,0.008366089630777576,0,-1.2231919198555987,0.6807350250230642,0,-0.8403620279459201,1,0,-0.7980915988637767,0.981877257252514,0,0.37975452235355434,1,0,6.09993636652416,1
ENSG00000154642,C21orf91,0.19955654101995576,2.7632757527572998,0.00001393163293727778,0.03006681514476616,-1.3089217938814826,0.27094873752847143,0.02464065708418892,-1.4659665131644224,0.25714661645616954,0.03784162578836721,-0.8838214728896605,0.6526708593122227,0.012765957446808508,-1.6457805697535832,0.6686673892040833,0,3.049310293454191,1
ENSG00000244676,AL109761.1,0,0.5756487495815286,1,0.0050111358574610266,2.584163002202006,0.5713876031169279,0,0.9669928941116828,1,0,1.009263323193828,1,0,2.187109444411159,1,0,7.907291288581764,1
