Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value
ENSG00000278932,CR381653.1,0,-2.857550254667161,0.05356809466280866,0.00492072170585019,-1.3576893733080206,0.5482383804895061,0.006101694915254237,-0.9570914085307081,0.7658610281771161,0.09856781802864369,4.554178149222118,0.0000047366798684209586,0,1.5580635031688193,1,0,1.670184973701724,1,0,1.096130181254094,1
ENSG00000274391,TPTE,0.004016064257028114,-1.5579899728082536,0.3044582806755164,0,-2.2581536997571057,0.2450431396344987,0.012203389830508475,-0.050200812922188476,1,0.007582139848357206,-0.3686539902554218,1,0,1.7507085811112155,1,0,1.8628300516441203,1,0.41326530612244894,6.096130181254093,0.0000006156234220527969
ENSG00000277282,IGHV1OR21-1,0,0.14244974533283816,1,0,0.549201222300499,1,0,0.9497991870778106,1,0.007582139848357206,3.331785727885671,0.46827059313793057,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000224905,AP001347.1,0,-1.442512755388317,0.5480444039775372,0,-1.035761278420658,0.7180406530436954,0,-0.6351633136433454,0.9021802005039956,0,-0.2531767728354861,1,0,2.973101002447663,1,0,3.085222472980568,1,0.22959183673469388,7.681092681975249,0.000007998345119115862
ENSG00000185272,RBM11,0,-0.857550254667161,1,0.00492072170585019,0.964238721579342,0.9051119040542226,0,-0.050200812922189364,1,0,0.33178572788566996,1,0,3.5580635031688193,1,0.13846153846153847,6.2551474744228805,0.15004858881513564,0,3.096130181254094,1
ENSG00000155304,HSPA13,0.028112449799196797,-0.9450130959175009,0.40330240747433527,0.12793876435210497,2.3971981288554476,0.0015021890653200798,0.03661016949152542,-0.3721289078095511,0.9021802005039956,0,-3.025766276732414,0.0825173101258797,0,0.20051149855073547,1,0.06923076923076923,1.3482568788143623,1,0,-0.2614218233639898,1
ENSG00000155307,SAMSN1,0.1726907630522089,1.1756166092680385,0.053915238938523326,0.08857299070530343,-0.2903341055062558,1,0.0671186440677966,-0.6940570026969142,0.7658610281771161,0.04549283909014324,-1.1827874449440885,0.43288775805413904,0,-0.8682012515332787,1,0.20769230769230768,1.2951455423547995,1,0.18367346938775508,1.0605062715233724,1
ENSG00000226751,AF127936.1,0,0.14244974533283816,1,0,0.549201222300499,1,0,0.9497991870778106,1,0.007582139848357206,3.331785727885671,0.46827059313793057,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000281903,LINC02246,0,0.14244974533283816,1,0.00492072170585019,2.549201222300499,0.6088301118278855,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000180530,NRIP1,0.11244979919678719,0.540999121823114,0.5390687731019522,0.02460360852925095,-1.931925467436118,0.029369724127751944,0.1952542372881356,1.6722652115489018,0.010638177210370999,0.015164279696714413,-2.2125347883381403,0.0825173101258797,0,-0.6118614982734933,1,0.13846153846153847,1.1258644574779137,1,0.09183673469387754,0.5518096650302833,1
ENSG00000155313,USP25,0.0883534136546185,0.4960866999475395,0.5413791666099677,0.014762165117550572,-2.2321584912241614,0.020657155079313042,0.08542372881355932,0.397258164049032,0.9021802005039956,0.10614995787700089,0.7792447048568913,0.5384184480359026,0,-0.29991749195875306,1,0.20769230769230768,1.888825260177065,1,0.04591836734693877,0.26324016708935183,1
ENSG00000154639,CXADR,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000154640,BTG3,0.0883534136546185,0.41808418794626645,0.5902513396138289,0.044286495352651715,-0.8012960247836354,0.6048987716255468,0.01830508474576271,-1.883090827086931,0.14050811067192448,0.15922493681550134,1.5058151276607195,0.0825173101258797,0,-0.34882709243969945,1,0.20769230769230768,1.8372949595369823,1,0.04591836734693877,0.213487131892252,1
ENSG00000280594,BTG3-AS1,0.008032128514056228,0.4054841511666334,1,0.01968288682340076,2.2861668164667037,0.2010439330162368,0,-0.857555734979794,0.9021802005039956,0,-0.4755691941719338,0.98136696837283,0,2.7507085811112155,1,0,2.8628300516441203,1,0,2.2887752591964894,1
ENSG00000154642,C21orf91,0.1445783132530121,1.8924714923244919,0.005450200191884538,0.044286495352651715,-0.7435805269273481,0.6088301118278855,0.01830508474576271,-1.8315605264468493,0.14477814557364801,0.030328559393428826,-1.1011736793904365,0.4878837590417862,0,-0.29991749195875306,1,0.06923076923076923,0.8372949595369823,1,0.18367346938775508,1.663170773977987,1
ENSG00000244676,AL109761.1,0,0.14244974533283816,1,0.00492072170585019,2.549201222300499,0.6088301118278855,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000154645,CHODL,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000237484,LINC01684,0.008032128514056228,-0.442512755388317,0.9739778672486188,0,-1.9102303963367993,0.552198186739416,0.012203389830508475,0.36483668635665545,1,0,-1.1276458907516274,0.8297262548237462,0.3829787234042553,6.04349033033906,0.0002808782061484927,0,2.2107533550644267,1,0,1.6366985626167967,1
ENSG00000222042,AP001341.1,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000185433,LINC00158,0.008032128514056228,1.7274122460539951,0.5173561265071791,0,-0.45079877769950194,1,0,-0.050200812922189364,1,0,0.33178572788566996,1,0,3.5580635031688193,1,0,3.670184973701724,1,0.04591836734693877,4.511167680532937,0.9985940505253635
ENSG00000234883,MIR155HG,0.04016064257028114,-0.20547355808746737,0.9739778672486188,0.044286495352651715,0.013148322060287931,1,0.09152542372881356,1.426237231020798,0.14477814557364801,0,-2.9161417855579153,0.0825173101258797,0.06382978723404255,1.3486101375398687,1,0,0.4222574602581388,1,0.09183673469387754,1.511167680532938,1
ENSG00000154719,MRPL39,0.06425702811244982,-0.1963521681189193,0.9739778672486188,0.06396938217605248,-0.16700581169891082,1,0.14033898305084747,1.364836686356655,0.08680658414244911,0.007582139848357206,-2.526195267241902,0.0825173101258797,0,-0.3245795461930219,1,0.13846153846153847,1.4222574602581384,1,0.1377551020408163,1.2887752591964894,1
ENSG00000154721,JAM2,0,-0.442512755388317,1,0.00492072170585019,1.549201222300499,0.7757693606070216,0.006101694915254237,1.9497991870778106,0.7658610281771161,0,0.7468232271645139,1,0,3.9731010024476623,1,0,4.085222472980568,1,0,3.511167680532937,1
ENSG00000154723,ATP5PF,0.6144578313253014,-0.3118629026794444,0.6618306259339579,1.185893931109896,1.0843601671010403,0.020657155079313042,0.5552542372881356,-0.44550209413977093,0.7683866083759716,0.4852569502948612,-0.6430259400234968,0.6155272792733294,0.3829787234042553,-0.7868664170801591,1,0.5538461538461539,-0.30709494979819224,1,0.5051020408163265,-0.4584586704235438,1
ENSG00000154727,GABPA,0.08032128514056228,0.7274122460539951,0.40330240747433527,0.03936577364680152,-0.602801871144552,0.7180406530436954,0.0671186440677966,0.32530832217001704,0.9021802005039956,0.037910699241786035,-0.5095165260952719,0.9542574862166774,0.06382978723404255,1.0034746514911812,1,0,0.08522247298056795,1,0.09183673469387754,1.157530725918237,1
ENSG00000142192,APP,0.18473895582329325,0.39325784883337356,0.5506900801364557,0.1476216511755057,-0.06645807564357487,1,0.17084745762711864,0.20786734001825558,0.9021802005039956,0.09098567818028648,-0.7879535163884257,0.6155272792733294,0.19148936170212766,0.6273261656059326,1,0.06923076923076923,-0.2840113366851509,1,0.18367346938775508,0.49919503886686156,1
ENSG00000166265,CYYR1,0,0.14244974533283816,1,0,0.549201222300499,1,0.006101694915254237,2.9497991870778106,0.6090496519191141,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000232855,AF165147.1,0,-1.857550254667161,0.3313619851983109,0,-1.450798777699502,0.6051057612760989,0,-1.0502008129221894,0.7658610281771161,0,-0.66821427211433,0.98136696837283,0,2.5580635031688193,1,0.4846153846153846,8.670184973701724,0.00000003022109143531502,0,2.096130181254094,1
ENSG00000156239,N6AMT1,0.028112449799196797,-0.6124377568306301,0.5480444039775372,0.06396938217605248,0.964238721579342,0.4363278535284126,0.04271186440677966,0.19491168491434152,1,0.007582139848357206,-1.7126083914727834,0.3089720895375589,0.06382978723404255,1.5136693838103654,1,0.06923076923076923,1.6257908543432706,1,0.1377551020408163,2.1419338708672178,0.9985940505253635
ENSG00000198862,LTN1,0.140562248995984,0.8861099920730533,0.22938664460765273,0.09349371241115362,-0.011513732173980884,1,0.05491525423728814,-0.8367971748129959,0.6090496519191141,0.06065711878685765,-0.6275722876169842,0.8297262548237462,0.19148936170212766,1.329244812672938,1,0.13846153846153847,1.007219960979295,1,0.04591836734693877,-0.17065635944080793,1
ENSG00000156253,RWDD2B,0.036144578313253024,0.8794153394990456,0.5390687731019522,0.034445051940951335,0.7418463002428943,0.7360327666457083,0,-2.44251823570095,0.22947902290906025,0.030328559393428826,0.5662509815226926,0.98136696837283,0,1.1657460803900586,1,0,1.2778675509229642,1,0,0.7038127584753333,1
ENSG00000273254,AF129075.2,0,-1.442512755388317,0.5480444039775372,0,-1.035761278420658,0.7180406530436954,0.030508474576271188,4.534761687798968,0.010638177210370999,0,-0.2531767728354861,1,0,2.973101002447663,1,0,3.085222472980568,1,0,2.511167680532938,1
ENSG00000156256,USP16,0.16465863453815266,-0.7598535807800275,0.28725311225979583,0.25587752870420993,0.08729711798367967,1,0.20745762711864407,-0.27846980059530635,0.9021802005039956,0.4321819713563608,1.0502153706144486,0.10785753021832553,0.3191489361702127,0.5505689666218945,1,0.20769230769230768,0.06285465995211359,1,0.22959183673469388,0.08863564470716923,1
ENSG00000156261,CCT8,0.3212851405622491,-0.5675488012330976,0.4137714920970811,0.5511208310552214,0.5051940400614054,0.5482383804895061,0.4271186440677966,-0.003741501829529259,1,0.477674810446504,0.1922343754868765,0.98136696837283,0.44680851063829785,0.15718406688663467,1,0.13846153846153847,-1.166917291749932,1,0.45918367346938777,0.16754451454625596,1
ENSG00000156265,MAP3K7CL,0.004016064257028114,-2.715531249794733,0.02760534429802865,0.044286495352651715,0.4788118944091,0.9556200031088863,0.0488135593220339,0.6602925698828264,0.7861983069941003,0.06823925863521486,1.2613963999942723,0.31587829003216283,0,0.6511729075603006,1,0,0.7632943780932062,1,0.09183673469387754,1.8737377599176455,1
ENSG00000156273,BACH1,0.03212851405622491,-1.3314814429995727,0.14350952039362025,0.029524330235101145,-1.34388357378299,0.20724569089072953,0.20745762711864407,2.4941197033016214,0.00010125398271507137,0.053074978938500446,-0.3406396140858252,1,0,-0.29991749195875306,1,0,-0.18779602142584784,1,0.09183673469387754,0.8737377599176459,1
ENSG00000273017,AP000240.1,0,-0.442512755388317,1,0,-0.035761278420658016,1,0.006101694915254237,1.9497991870778106,0.7658610281771161,0.007582139848357206,2.331785727885671,0.6677794104453193,0,3.9731010024476623,1,0,4.085222472980568,1,0,3.511167680532937,1
ENSG00000156299,TIAM1,0.04016064257028114,-0.7556706406479465,0.5390687731019522,0.15254237288135591,2.227273127413136,0.003957532603363717,0.012203389830508475,-2.0799481563162407,0.14477814557364801,0.007582139848357206,-2.3120704618890544,0.16504632813744421,0.19148936170212766,1.9731010024476627,1,0.20769230769230768,2.085222472980568,1,0,-0.576295160717402,1
ENSG00000237594,AP000251.1,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000234509,AP000253.1,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000142168,SOD1,1.0321285140562253,-0.17275248636620996,0.942243460883466,1.3236741388737012,0.3268088009640502,0.7180406530436954,0.7749152542372881,-0.6426578501902696,0.6090496519191141,1.3344566133108684,0.3015394410175493,0.7498640057132916,1.9148936170212765,0.749047446741294,1,1.3153846153846154,0.21075335506442713,1,0.9183673469387755,-0.2912717511105503,1
ENSG00000273271,AP000254.2,0.004016064257028114,1.1424497453328382,0.7283428318526395,0,-0.035761278420658016,1,0.006101694915254237,1.9497991870778106,0.7658610281771161,0,0.7468232271645139,1,0,3.9731010024476623,1,0,4.085222472980568,1,0,3.511167680532937,1
ENSG00000156304,SCAF4,0.11244979919678719,-1.3918866823183491,0.02760534429802865,0.10825587752870419,-1.3701803174912175,0.046864837501545104,0.2684745762711864,0.19372476996389998,0.9021802005039956,0.7278854254422918,2.287842380298073,0.0000033444176164054544,0.06382978723404255,-1.049266810580792,1,0,-1.9445248704134839,1,0.18367346938775508,-0.16690422457970033,1
ENSG00000142149,HUNK,0.004016064257028114,2.142449745332838,0.5390687731019522,0,0.549201222300499,1,0,0.9497991870778106,1,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000159055,MIS18A,0.09236947791164662,2.7274122460539956,0.0012503098890835594,0.00492072170585019,-2.3576893733080206,0.06802501030883312,0.01830508474576271,-0.857555734979794,0.7658610281771161,0.015164279696714413,-0.9412327665207458,0.6677794104453193,0.06382978723404255,1.6511729075603,1,0,0.7159886633148491,1,0,0.1419338708672182,1
ENSG00000142207,URB1,0,-3.1794783495545236,0.02760534429802865,0.00984144341170038,-1.035761278420658,0.6088301118278855,0.061016949152542375,2.0873027108277453,0.050379198729103555,0.053074978938500446,1.6313460097445782,0.2081537199856408,0,1.2361354082814566,1,0,1.3482568788143623,1,0,0.7742020863667314,1
ENSG00000256073,URB1-AS1,0,-2.442512755388317,0.14350952039362025,0.00984144341170038,-0.1877643718657076,1,0.04271186440677966,2.627871092190448,0.04887724839098286,0,-1.2531767728354861,0.6155272792733294,0,1.9731010024476632,1,0,2.085222472980568,1,0.09183673469387754,3.3591645870878875,0.9985940505253635
ENSG00000166979,EVA1C,0.02008032128514057,-0.0799426760036086,1,0.00984144341170038,-0.953299118228685,0.7180406530436954,0,-2.2981283263657755,0.3100110162686764,0.007582139848357206,-0.8381392735566422,0.98136696837283,0,1.310135989725234,1,0.6923076923076923,5.959691590896709,0.000006743772035028542,0,0.8482026678105079,1
ENSG00000159079,CFAP298,0.12449799196787154,-0.8687775100904149,0.22938664460765273,0.17714598141060686,-0.19554172245742718,1,0.22576271186440677,0.25521219518215643,0.9021802005039956,0.3108677337826455,0.8292853873564865,0.29641025222893236,0.1276595744680851,-0.16075474428712777,1,0.4846153846153846,1.4127971310090728,1,0.22959183673469388,0.4049682767010119,1
ENSG00000159082,SYNJ1,0,-3.105477768110747,0.027953583213091805,0.0492072170585019,1.8387078394954832,0.07158297184404808,0.012203389830508475,-0.5527011534513724,0.9021802005039956,0.02274641954507162,0.33178572788566996,1,0,1.310135989725234,1,0.06923076923076923,2.500259972259412,1,0.09183673469387754,2.59362984072491,0.9985940505253635
ENSG00000238197,PAXBP1-AS1,0.004016064257028114,-0.6649051767247656,0.942243460883466,0.00984144341170038,0.5492012223004981,1,0,-1.0502008129221894,0.7658610281771161,0.030328559393428826,2.6537138227730317,0.13774220682602004,0,2.5580635031688193,1,0,2.670184973701724,1,0,2.096130181254094,1
ENSG00000159086,PAXBP1,0.05622489959839359,0.8794153394990447,0.4137714920970811,0.00984144341170038,-1.7727268725868646,0.1471705793471572,0.02440677966101695,-0.5356276400924314,0.9021802005039956,0.08340353833192928,1.5244308058280662,0.16504632813744421,0,0.5580635031688193,1,0,0.670184973701724,1,0,0.096130181254094,1
ENSG00000205930,C21orf62-AS1,0.004016064257028114,-1.7644408502756797,0.24641332963889717,0.0492072170585019,2.4236703402166393,0.020657155079313042,0,-2.0502008129221894,0.3100110162686764,0.030328559393428826,1.0687513220518756,0.6725878383359768,0,1.5580635031688193,1,0,1.670184973701724,1,0,1.096130181254094,1
ENSG00000184221,OLIG1,0.004016064257028114,1.1424497453328382,0.7283428318526395,0,-0.035761278420658016,1,0.006101694915254237,1.9497991870778106,0.7658610281771161,0,0.7468232271645139,1,0,3.9731010024476623,1,0,4.085222472980568,1,0,3.511167680532937,1
ENSG00000159110,IFNAR2,0.2610441767068274,0.8469938618066677,0.16017245528831084,0.17222525970475666,-0.07528964260729554,1,0.11593220338983051,-0.7169574048069931,0.6090496519191141,0.15922493681550134,-0.17456693813911972,1,0.1276595744680851,-0.026898997552337267,1,0,-1.5196395851782927,1,0.1377551020408163,-0.06374115552429593,1
ENSG00000223799,IL10RB-DT,0,-2.1794783495545236,0.26767188414453696,0.00492072170585019,-0.6207237791418141,0.854703593282305,0.04271186440677966,3.3648366863566546,0.010638177210370999,0.007582139848357206,0.1618607264433578,1,0,2.2361354082814566,1,0,2.3482568788143623,1,0,1.7742020863667314,1
ENSG00000243646,IL10RB,0.19678714859437757,0.03141843294409563,1,0.17714598141060686,-0.16020864934514645,1,0.29898305084745763,0.8387678746890666,0.22947902290906025,0.10614995787700089,-0.9211950132842008,0.46827059313793057,0,-1.7365572457228078,1,0.13846153846153847,-0.02097693085135699,1,0.2755102040816326,0.6650803639866187,1
ENSG00000142166,IFNAR1,0.2530120481927712,-0.03745934468209544,1,0.12793876435210497,-1.2037059157347298,0.07744693196130518,0.2867796610169492,0.20384480968434993,0.9021802005039956,0.4700926705981468,1.1192410925055691,0.0825173101258797,0.2553191489361702,0.20756625608468604,1,0.06923076923076923,-1.023301983797601,1,0.18367346938775508,-0.25436706583003965,1
ENSG00000159128,IFNGR2,0.1445783132530121,-1.653721438232089,0.005450200191884538,0.12301804264625477,-1.8164482500161823,0.005915159027828656,1.0616949152542372,2.506192535602196,0.000000005607587637955557,0.27295703454085946,-0.4643854556792584,0.8919152768125437,0.06382978723404255,-1.6317610557111986,1,0.13846153846153847,-0.9297278684854033,1,0.8265306122448979,1.240769886285657,0.9985940505253635
ENSG00000142188,TMEM50B,0.12449799196787154,-0.7155312497947328,0.33418598818465073,0.3247676325861126,1.2754404098736458,0.020657155079313042,0.1342372881355932,-0.4924231415272633,0.7861983069941003,0.16680707666385855,-0.11043660071940442,1,0.19148936170212766,0.3881385017265062,1,0.06923076923076923,-0.5196395851782927,1,0.04591836734693877,-1.093694377625924,1
ENSG00000177692,DNAJC28,0,0.14244974533283816,1,0,0.549201222300499,1,0.006101694915254237,2.9497991870778106,0.6090496519191141,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000159131,GART,0.11646586345381531,0.40548415116663294,0.5902513396138289,0.11809732094040458,0.41169769855056293,0.7757693606070216,0.07322033898305084,-0.41585028523886924,0.9021802005039956,0.04549283909014324,-1.0506839089367435,0.46827059313793057,0.19148936170212766,1.3101359897252332,1,0.13846153846153847,0.9883609337279791,1,0.09183673469387754,0.4143061412803486,1
ENSG00000159140,SON,2.152610441767069,0.7703588557073819,0.10337464480304721,0.9890650628758882,-0.801015917018288,0.2262893549099776,1.4216949152542373,-0.1427320986760452,1,1.4860994102780125,-0.061577505044641434,1,0.7659574468085106,-0.9929791893103012,1,1.523076923076923,-0.04585159949038631,1,1.3775510204081631,-0.17969394406466555,1
ENSG00000159147,DONSON,0.004016064257028114,-2.9019443740256143,0.014797790250048279,0.0984144341170038,2.134163723021654,0.005915159027828656,0.012203389830508475,-1.4652383122010324,0.3770193737772202,0.06065711878685765,0.8012710111868904,0.6698029502377162,0,0.47060066191848016,1,0,0.5827221324513849,1,0.09183673469387754,1.68109268197525,1
ENSG00000205758,CRYZL1,0.16064257028112455,0.6926468278933187,0.32051522088047507,0.0984144341170038,-0.30640886836432735,1,0.11593220338983051,0.004940741270271776,1,0.053074978938500446,-1.1439477030807277,0.3972886078664791,0.44680851063829785,2.0823300722024216,0.5573695256507196,0,-0.9147775270194316,1,0.09183673469387754,0.12650383029761247,1
ENSG00000205726,ITSN1,0,-1.857550254667161,0.3313619851983109,0.02460360852925095,2.549201222300498,0.08867645719095217,0.012203389830508475,0.9497991870778115,0.9021802005039956,0,-0.66821427211433,0.98136696837283,0,2.5580635031688193,1,0,2.670184973701724,1,0,2.096130181254094,1
ENSG00000241837,ATP5PO,1.2610441767068277,-0.11867507049232318,1,1.653362493165664,0.42813661534854447,0.5780200299765356,1.2630508474576272,-0.10130515387019534,1,1.1979780960404387,-0.1866385606320255,1,1.1489361702127658,-0.231555937349774,1,1.0384615384615385,-0.3714741779354904,1,0.9183673469387755,-0.546351358544414,1
ENSG00000237945,LINC00649,0.10441767068273096,1.649409734052722,0.027953583213091805,0.03936577364680152,-0.490327141886139,0.854703593282305,0.012203389830508475,-1.8915030669031307,0.1841482531606912,0,-3.160067368444005,0.0825173101258797,0.44680851063829785,3.310135989725234,0.04638190974473254,0.06923076923076923,1.2107533550644267,1,0,-0.3957229150755808,1
ENSG00000273102,AP000569.1,0,0.14244974533283816,1,0,0.549201222300499,1,0.006101694915254237,2.9497991870778106,0.6090496519191141,0,1.3317857278856708,1,0,4.558063503168818,1,0,4.6701849737017245,1,0,4.096130181254093,1
ENSG00000243927,MRPS6,0.317269076305221,1.1424497453328393,0.027953583213091805,0.17222525970475666,-0.2350700866440647,1,0.12203389830508475,-0.7768244628669363,0.6090496519191141,0.10614995787700089,-0.9412327665207458,0.46827059313793057,0.2553191489361702,0.6038671927819439,1,0.20769230769230768,0.38478275483947577,1,0.1377551020408163,-0.18927203760815514,1
ENSG00000198743,SLC5A3,0.012048192771084341,-1.442512755388317,0.22938664460765273,0.01968288682340076,-0.6524326388691533,0.7810537561675095,0.0488135593220339,0.8717966750765376,0.7634124441310837,0.007582139848357206,-1.3686539902554218,0.46827059313793057,0.6382978723404255,4.930032280555777,0.000040166524844466656,0,0.9152974715382558,1,0,0.3412426790906249,1
