Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSG00000278932,CR381653.1,0.01447721179624665,-0.18891065397750317,0.9852977222378865,0,-2.1070601838222593,0.2887440145254599,0.08544303797468356,3.923641414778331,0.00010041529574481637,0,-1.3887462014599148,0.7560999117964042,0,-1.7560616747656512,0.4087399876087083,0,1.5002545825649456,1,0,2.373623933961494,1,0,2.6327932945408676,1,0,4.907291288581764,1
ENSG00000274391,TPTE,0.0096514745308311,-0.48847093583641055,0.8359125093876901,0,-1.914415105879863,0.3811426760719683,0,-1.5841532254203647,0.5420076459894608,0,-1.1961011235175185,0.7437866943053068,0.07205764611689354,3.7033699438716456,0.0005900961699468365,0,1.6928996605073419,1,0,2.5662690119038905,1,0,2.825438372483264,1,1.5,6.206851570440672,0.3580771374584562
ENSG00000277282,IGHV1OR21-1,0,0.5115290641635895,1,0,0.8929398161777415,1,0.007120253164556963,3.22320169663724,0.5420076459894608,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000224905,AP001347.1,0,-1.0734334365575666,0.6463903203627899,0,-0.6920226845434154,1,0.007120253164556963,0.9012736017498773,1,0.008946322067594435,1.2893257036527226,0.9823549166541787,0.014411529223378707,1.8289008259555048,0.5211298945038584,0,2.9152920818437895,1,0,3.788661433240338,1,0,4.047830793819712,1,1.5,7.585363193694402,0.2886410671378873
ENSG00000185272,RBM11,0,-0.48847093583641055,1,0,-0.10706018382225935,1,0,0.223201696637239,1,0.008946322067594435,2.026291297818929,0.7948906084112828,0,0.24393832523434877,1,0,3.5002545825649456,1,0.11688311688311687,5.788661433240337,0.666711064362933,0.14285714285714285,6.047830793819712,0.5841851655576025,0,6.907291288581764,1
ENSG00000155304,HSPA13,0.0096514745308311,-2.1889106539775027,0.06370439777435791,0.05321944809461236,0.21486791106510328,1,0.04272151898734178,-0.09872639825012364,1,0.10735586481113323,1.4537125215536055,0.24908348440870473,0.06485188150520418,0.5658664201217105,0.6593327788306661,0,0.1427025779468618,1,0.11688311688311687,2.0516958390741324,1,0.14285714285714285,2.310865199653505,1,0,3.54973928396368,1
ENSG00000155307,SAMSN1,0.06273458445040216,-0.8709405726588235,0.46559149526250054,0.24835742444152434,1.8597729522425417,0.002689857856562314,0.04984177215189874,-1.0805790515398637,0.5281349936824484,0.09840954274353879,-0.032602391234639594,1,0.06485188150520418,-0.700920120573191,0.588953866830745,0,-0.9260101721371523,1,0.11688311688311687,0.9642329978237925,1,0.2857142857142857,1.8254383724832635,1,0,2.4810265338796658,1
ENSG00000226751,AF127936.1,0,0.5115290641635895,1,0,0.8929398161777415,1,0.007120253164556963,3.22320169663724,0.5420076459894608,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000281903,LINC02246,0.00482573726541555,2.5115290641635895,0.5527330772408227,0,0.8929398161777415,1,0,1.2232016966372399,1,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000180530,NRIP1,0.0772117962466488,-0.20836301664367562,0.9686253204073326,0.10643889618922472,0.38597982745785764,0.9596617897084031,0.02848101265822785,-1.5423330497257384,0.29257804897565015,0.044731610337972176,-0.8698728911965312,0.765089378868618,0.19455564451561255,1.5594401509622777,0.036852965709027935,0,-0.6696704188773666,1,0,0.20369893251918203,1,0.14285714285714285,1.4830461750361859,1,0,2.7373662871394515,1
ENSG00000155313,USP25,0.1254691689008043,1.2664165663270581,0.10462702900728373,0.01182654402102497,-2.329452605158707,0.04349267320062567,0.0783227848101266,0.2535753456807579,1,0.044731610337972176,-0.5317041553019579,0.9823549166541787,0.06485188150520418,-0.048843423993497836,1,0,-0.3577264125626263,1,0.11688311688311687,1.5407339197967524,1,0.42857142857142855,2.851433581016208,0.73935289074136,0,3.049310293454191,1
ENSG00000154639,CXADR,0.00482573726541555,2.5115290641635895,0.5527330772408227,0,0.8929398161777415,1,0,1.2232016966372399,1,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000154640,BTG3,0.14959785522788205,1.6535480690360176,0.019716228260869575,0.017739816031537452,-1.9399501979870006,0.1044207394494552,0.08544303797468356,0.3386789140571751,1,0.06262425447316104,-0.11666665602311355,1,0.014411529223378707,-2.029080169172067,0.12694606074419465,0,-0.4066360130435731,1,0.23376623376623373,2.1006054395550784,1,0.2857142857142857,2.359774800134452,1,0,3.000400692973245,1
ENSG00000280594,BTG3-AS1,0,-1.2958258578940152,0.6497110966563583,0,-0.9144151058798631,1,0,-0.5841532254203647,1,0.05367793240556661,5.41860872059769,0.0006734070246784043,0,-0.563416596823255,0.8868769614692102,0,2.692899660507342,1,0,3.5662690119038905,1,0,3.825438372483264,1,0,6.09993636652416,1
ENSG00000154642,C21orf91,0.11099195710455766,0.9672085479397792,0.27358179155564055,0.059132720105124846,-0.23259106590611767,1,0.02848101265822785,-1.2097577106388675,0.5420076459894608,0.13419483101391652,1.1849890438379878,0.33144692520155006,0.03602882305844677,-0.8990196286076939,0.588953866830745,0,-0.3577264125626263,1,0,0.5156429388339223,1,0,0.7748122994132958,1,0,3.049310293454191,1
ENSG00000244676,AL109761.1,0,0.5115290641635895,1,0.005913272010512485,2.8929398161777415,0.6254456637496186,0,1.2232016966372399,1,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000154645,CHODL,0.00482573726541555,2.5115290641635895,0.5527330772408227,0,0.8929398161777415,1,0,1.2232016966372399,1,0,1.6112537985400852,1,0,1.2439383252343497,1,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000237484,LINC01684,0.00482573726541555,-0.8103990307237732,0.7814600285371157,0.005913272010512485,-0.4289882787096211,1,0,-1.2362299220000583,0.944055750172654,0,-0.8481778200972121,1,0.014411529223378707,0.6589758245131927,0.9369351552848239,0.3673469387755102,5.985681409735188,0.0003079145333650336,0,2.914192315324197,1,0,3.1733616759035703,1,0,5.447859669944466,1
ENSG00000222042,AP001341.1,0,0.5115290641635895,1,0,0.8929398161777415,1,0,1.2232016966372399,1,0,1.6112537985400852,1,0.007205764611689354,3.2439383252343497,0.4576792113279061,0,4.5002545825649465,1,0,5.373623933961495,1,0,5.632793294540868,1,0,7.907291288581764,1
ENSG00000185433,LINC00158,0,-0.48847093583641055,0.8425701682315263,0,-0.10706018382225935,1,0,0.223201696637239,1,0,0.6112537985400852,1,0.02161729383506806,4.24393832523435,0.06207977971205287,0,3.5002545825649456,1,0,4.373623933961494,1,0,4.632793294540868,1,0,6.907291288581764,1
ENSG00000234883,MIR155HG,0.053083109919571055,0.3416040627212773,0.8706214786145443,0.06504599211563733,0.7230148147354285,0.7790856393620466,0,-3.0247258168063462,0.05209045259868486,0,-2.6366737149035,0.23972225633706506,0.10088070456365095,1.565866420121711,0.10458594611773633,0.06122448979591837,1.290801216935995,1,0,1.125696420517909,1,0,1.3848657810972824,1,0,3.6593637751381785,1
ENSG00000154719,MRPL39,0.0289544235924933,-1.409036468342006,0.18737356584673895,0.15965834428383707,1.7002947382353444,0.016673926627370817,0.04272151898734178,-0.697363835868356,0.8488586137506625,0.026838966202783306,-1.196101123517519,0.7031565541596833,0.1080864691753403,0.7845067065970515,0.4576792113279061,0,-0.38238846679689553,1,0,0.49098088459965306,1,0.14285714285714285,1.7748122994132958,1,0,3.024648239219922,1
ENSG00000154721,JAM2,0,-0.07343343655756662,1,0,0.3079773154565846,1,0,0.6382391959160829,1,0.008946322067594435,2.611253798540085,0.7305244095307084,0.007205764611689354,2.2439383252343497,0.588953866830745,0,3.9152920818437886,1,0,4.788661433240337,1,0,5.047830793819712,1,0,7.322328787860608,1
