Feature,Normalized.Dispersion
ENSG00000278932,-1.2151567512861148
ENSG00000274391,-1
ENSG00000277282,NaN
ENSG00000224905,0
ENSG00000185272,1
ENSG00000155304,0
ENSG00000155307,0.9999999999999973
ENSG00000226751,NaN
ENSG00000281903,NaN
ENSG00000180530,2.1027364804343502
ENSG00000155313,0
ENSG00000154639,NaN
ENSG00000154640,0
ENSG00000280594,0.9999999999999999
ENSG00000154642,30.154768288837143
ENSG00000244676,NaN
ENSG00000154645,NaN
ENSG00000237484,1
ENSG00000222042,NaN
ENSG00000185433,-2.1484597651552098
ENSG00000234883,0.9999999999999998
ENSG00000154719,-1
ENSG00000154721,NaN
ENSG00000154723,-1
ENSG00000154727,-2.0424503179843247
ENSG00000142192,-1.0000000000000027
ENSG00000166265,NaN
ENSG00000232855,0
ENSG00000156239,-1
ENSG00000198862,-1
ENSG00000156253,0
ENSG00000273254,2.6650362896415403
ENSG00000156256,-1.0000000000000002
ENSG00000156261,0
ENSG00000156265,-7.434672443039262
ENSG00000156273,1.8575924140795215
ENSG00000273017,NaN
ENSG00000156299,0.9999999999999997
ENSG00000237594,NaN
ENSG00000234509,NaN
ENSG00000142168,-1.8858913633544883
ENSG00000273271,NaN
ENSG00000156304,1
ENSG00000142149,NaN
ENSG00000159055,1
ENSG00000142207,-1
ENSG00000256073,1.0367731699234755
ENSG00000166979,1
ENSG00000159079,0
ENSG00000159082,1
ENSG00000238197,-1.0000000000000002
ENSG00000159086,0
ENSG00000205930,0
ENSG00000184221,NaN
ENSG00000159110,1
ENSG00000223799,-1
ENSG00000243646,-39.4095503731717
ENSG00000142166,-1
ENSG00000159128,3.3455054385321725
ENSG00000142188,0
ENSG00000177692,NaN
ENSG00000159131,-1
ENSG00000159140,0
ENSG00000159147,-1.2461251496911812
ENSG00000205758,0
ENSG00000205726,0
ENSG00000241837,1
ENSG00000237945,-1.0000000000000002
ENSG00000273102,NaN
ENSG00000243927,4.413654755152052
ENSG00000198743,1
