Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000278932,CR381653.1,0,-3.208720059229898,0.02980985637781053,0.04385659589279498,3.49585225354297,0.0009975186238847082,0.005338078291814947,-1.2029849810441533,0.5337618269849828,0,4.907291288581764,1
ENSG00000274391,TPTE,0.0034168564920273345,-1.9091597773709887,0.22792146334403088,0.031326139923424985,2.0483932765717485,0.06756223678168488,0.005338078291814947,-0.9965341035767272,0.6990323238909206,1.5,6.206851570440672,0.3580771374584562
ENSG00000277282,IGHV1OR21-1,0,-0.2087200592298979,1,0.0031326139923424983,1.5889616579344503,0.6806999237848776,0,0.7039056145643645,1,0,7.907291288581764,1
ENSG00000224905,AP001347.1,0.006833712984054669,0.37624244149125907,1,0.006265227984684997,0.17392415865560729,1,0,-0.8810568861567916,1,1.5,7.585363193694402,0.2886410671378873
ENSG00000185272,RBM11,0,-1.208720059229898,0.8611100074817896,0,-1.4110383420655497,0.9679162153652062,0.01601423487544484,3.7039056145643645,0.11867350102861883,0,6.907291288581764,1
ENSG00000155304,HSPA13,0.027334851936218676,-1.0831891771460382,0.2682383929506706,0.046989209885137474,-0.11147806020664142,1,0.0907473309608541,1.2888681152855206,0.118603973354826,0,3.54973928396368,1
ENSG00000155307,SAMSN1,0.13325740318906604,0.558619183979828,0.5602034797490029,0.06265227984684997,-1.0631150386452428,0.12196680429221735,0.13879003558718864,0.5519025211193145,0.5152131242593236,0,2.4810265338796658,1
ENSG00000226751,AF127936.1,0,-0.2087200592298979,1,0.0031326139923424983,1.5889616579344503,0.6806999237848776,0,0.7039056145643645,1,0,7.907291288581764,1
ENSG00000281903,LINC02246,0.0034168564920273345,1.7912799407701039,0.6660967869469304,0,-0.4110383420655497,1,0,0.7039056145643645,1,0,7.907291288581764,1
ENSG00000180530,NRIP1,0.08200455580865604,-0.14982637017632827,0.9966683261846734,0.10964148973198745,0.5494332937478132,0.5430553071819898,0.06405693950177936,-0.5025452629030616,0.7407780569728825,0,2.7373662871394515,1
