Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSG00000278932,CR381653.1,0,-3.411038342065549,0.009975252878340465,0.04533126695079426,3.0595174223278283,0.0024294236330848194,0.012729844413012729,-0.1967683985925257,1,0,1.0603356632274767,1,0,1.670184973701724,1
ENSG00000274391,TPTE,0,-3.2183932641231534,0.02116833988399241,0.010461061604029443,-0.6223066176459175,0.7340627247759495,0.006364922206506364,-0.6748156953971698,0.9643307469672012,0.4029850746268656,6.060335663227477,0.0000006811831349919257,0,1.8628300516441203,1
ENSG00000277282,IGHV1OR21-1,0,-0.4110383420655488,1,0.0034870205346764814,1.8371250009913798,0.636376580080579,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000224905,AP001347.1,0,-1.9960008427867049,0.4054363184743703,0,-1.7478374997297763,0.4565093068837052,0,-0.5593384779772332,1,0.22388059701492535,7.645298163948632,0.000008635575094193517,0,3.085222472980568,1
ENSG00000185272,RBM11,0.0031326139923424996,0.0039991572132942466,1,0,-1.1628749990086202,0.813814107081277,0,0.025624022743922836,1,0,3.0603356632274767,1,0.13846153846153847,6.2551474744228805,0.15004858881513564
ENSG00000155304,HSPA13,0.10650887573964499,2.9108897528218125,0.000054475576726368264,0.010461061604029443,-2.4108025124522054,0.005679165481006727,0.012729844413012729,-1.6748156953971698,0.2247160492104772,0,-0.29721634139060704,1,0.06923076923076923,1.3482568788143623,1
ENSG00000155307,SAMSN1,0.17542638357117998,1.5149610764906738,0.004560346812071426,0.04881828748547074,-1.4259094048424137,0.03287502252579892,0.050919377652050915,-1.0898531946760128,0.40989231545585514,0.1791044776119403,1.0247117534967551,1,0.20769230769230768,1.2951455423547995,1
ENSG00000226751,AF127936.1,0,-0.4110383420655488,1,0.0034870205346764814,1.8371250009913798,0.636376580080579,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000281903,LINC02246,0,-0.4110383420655488,1,0,-0.16287499900862024,1,0.006364922206506364,3.025624022743923,0.6972773996388268,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000180530,NRIP1,0.09397841977027499,0.15084054554256543,1,0.09763657497094148,0.23567437748165476,0.8224267611200304,0.057284299858557285,-0.6297278058686313,0.7910666923956359,0.08955223880597014,0.516015147003666,1,0.13846153846153847,1.1258644574779137,1
ENSG00000155313,USP25,0.018795683954055,-2.3041231381490377,0.0015078007707428382,0.1499418829910887,2.3896660240201593,0.00008283959857532064,0.025459688826025458,-1.4073353845321832,0.29124902116774876,0.04477611940298507,0.22744564906273457,1,0.20769230769230768,1.888825260177065,1
ENSG00000154639,CXADR,0,-0.4110383420655488,1,0.0034870205346764814,1.8371250009913798,0.636376580080579,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000154640,BTG3,0.053254437869822494,-0.667378095325335,0.47893044226234766,0.09414955443626499,0.6000858036905306,0.5062928147385533,0.07001414427157002,-0.004123320650129436,1,0.04477611940298507,0.17769261386563517,1,0.20769230769230768,1.8372949595369823,1
ENSG00000280594,BTG3-AS1,0.018795683954055,3.396316579992055,0.021634844260474743,0,-1.970229921066224,0.3125394619452756,0,-0.7817308993136818,1,0,2.252980741169872,1,0,2.8628300516441203,1
ENSG00000154642,C21orf91,0.09084580577793248,0.6378712584153967,0.47893044226234766,0.031383184812088336,-1.4556567482364655,0.07140137697778029,0.0891089108910891,0.4730829997151442,0.8681549476051815,0.1791044776119403,1.6273762559513698,1,0.06923076923076923,0.8372949595369823,1
ENSG00000244676,AL109761.1,0.0031326139923424996,1.5889616579344503,0.6746406577633457,0,-0.16287499900862024,1,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000154645,CHODL,0,-0.4110383420655488,1,0.0034870205346764814,1.8371250009913798,0.636376580080579,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000237484,LINC01684,0.0031326139923424996,-1.7329664369529123,0.35677055697972704,0.010461061604029443,-0.16287499900862024,1,0.03818953323903819,2.511050849914165,0.10028067778859452,0,1.6009040445901794,1,0,2.2107533550644267,1
ENSG00000222042,AP001341.1,0.0031326139923424996,1.5889616579344503,0.6746406577633457,0,-0.16287499900862024,1,0,1.0256240227439228,1,0,4.060335663227476,1,0,4.6701849737017245,1
ENSG00000185433,LINC00158,0.006265227984684999,1.1739241586556064,0.799636314806824,0,-1.1628749990086202,0.7426298783379348,0,0.025624022743922836,1,0.04477611940298507,4.47537316250632,0.9528916087334987,0,3.670184973701724,1
ENSG00000234883,MIR155HG,0.025060911938739997,-1.1480039362317553,0.1874325300819706,0.020922123208058887,-1.3555200769510156,0.1420545103863452,0.13366336633663367,2.39759280013088,0.0006591810668128428,0.08955223880597014,1.4753731625063198,1,0,0.4222574602581388,1
ENSG00000154719,MRPL39,0.068917507831535,-0.09692975163748674,1,0.0732274312282061,0.048629106185091864,1,0.06364922206506365,-0.1296542027339882,1,0.13432835820895522,1.2529807411698726,1,0.13846153846153847,1.4222574602581384,1
ENSG00000154721,JAM2,0,-0.9960008427867049,0.8085636147260331,0.0034870205346764814,0.8371250009913798,0.7426298783379348,0.006364922206506364,2.025624022743923,0.7859625154603674,0,3.47537316250632,1,0,4.085222472980568,1
ENSG00000154723,ATP5PF,0.9523146536721199,0.7594780490308275,0.0859134169493654,0.4916698953893839,-0.7746791119484171,0.14066720821696768,0.7001414427157001,-0.04104701690136475,1,0.49253731343283574,-0.494253188450161,1,0.5538461538461539,-0.30709494979819224,1
ENSG00000154727,GABPA,0.053254437869822494,-0.195309651010112,0.9498691701935328,0.05230530802014722,-0.20726911836707362,0.8924953770281431,0.08274398868458274,0.7036959278565611,0.7736084685514255,0.08955223880597014,1.1217362078916198,1,0,0.08522247298056795,1
