Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSG00000278932,CR381653.1,0,-2.5379776518940504,0.12276445293813475,0.06355241716458447,3.758983038705839,0.00019940974006620943,0,-1.7712874217886867,0.3972743458079261,0.01475409836065574,0.06219688434930948,1,0,-0.9110843498014844,1,0,1.6915015620098344,1,0,2.307226112699333,1,0,4.907291288581764,1
ENSG00000274391,TPTE,0.004704652378463149,-1.238417370035143,0.6086105149012807,0.03422053231939164,1.729235695311787,0.1766754083270392,0.007142857142857143,-0.47172713992977844,1,0.00737704918032787,-0.4158504124553355,1,0.024000000000000004,1.0889156501985156,0.994386236521697,0,1.8841466399522298,1,0,2.4998711906417292,1,1.5,6.206851570440672,0.3580771374584562
ENSG00000277282,IGHV1OR21-1,0,0.46202234810594867,1,0.004888647474198806,2.5365906173693897,0.6442599713514566,0,1.2287125782113133,1,0,1.2845893056857562,1,0,2.0889156501985164,1,0,4.691501562009833,1,0,5.307226112699334,1,0,7.907291288581764,1
ENSG00000224905,AP001347.1,0,-1.1229401526152065,0.7076561594208473,0.009777294948397613,1.1215531180905476,1,0.014285714285714285,1.8136750789324694,0.5674673421661031,0,-0.30037319503539983,1,0,0.5039531494773595,1,0,3.1065390612886783,1,0,3.722263611978177,1,1.5,7.585363193694402,0.2886410671378873
ENSG00000185272,RBM11,0,-0.5379776518940504,1,0,-0.4634093826306094,1,0,0.2287125782113133,1,0,0.28458930568575624,1,0.012000000000000002,2.5039531494773595,0.6890437786092614,0,3.6915015620098344,1,0.2222222222222222,6.89218861342049,0.134755107815726,0,6.907291288581764,1
ENSG00000155304,HSPA13,0.05175117616309464,0.14009425321858693,1,0.009777294948397613,-2.1638491007717007,0.05957033382376275,0.08571428571428572,1.0711713012248336,0.30208995410967326,0.02950819672131148,-0.6029359650558304,1,0.12000000000000002,1.5941509584489375,0.21099724217546453,0,0.3339495573917506,1,0.1111111111111111,1.9852980178119712,1,0,3.54973928396368,1
ENSG00000155307,SAMSN1,0.10820700470465243,0.0697049253271893,1,0.03422053231939164,-1.7671901308077125,0.032606547693658096,0.09285714285714286,-0.15375705861109923,1,0.03688524590163935,-1.4702981964777115,0.33281982737933796,0.4320000000000001,2.6545128260527404,0.000026533970648564984,0,-0.734763192692264,1,0.1111111111111111,0.8978351765616317,1,0,2.4810265338796658,1
ENSG00000226751,AF127936.1,0,0.46202234810594867,1,0.004888647474198806,2.5365906173693897,0.6442599713514566,0,1.2287125782113133,1,0,1.2845893056857562,1,0,2.0889156501985164,1,0,4.691501562009833,1,0,5.307226112699334,1,0,7.907291288581764,1
ENSG00000281903,LINC02246,0,0.46202234810594867,1,0,0.5365906173693897,1,0,1.2287125782113133,1,0.00737704918032787,3.2845893056857562,0.7837050514747229,0,2.0889156501985164,1,0,4.691501562009833,1,0,5.307226112699334,1,0,7.907291288581764,1
ENSG00000180530,NRIP1,0.08938839519079983,0.056029988430112976,1,0.10266159695817492,0.32359689403519276,0.993154552576108,0.06428571428571428,-0.42663925040123996,0.9562369497504958,0.02950819672131148,-1.4809454406772207,0.33281982737933796,0.21600000000000005,1.581955661478632,0.07238230782349035,0,-0.4784234394324782,1,0,0.13730111125702127,1,0,2.7373662871394515,1
