Library or Sample,Library Type,Grouped By,Group Name,Metric Name,Metric Value
Library,Antibody Capture,Fastq ID,Parent_SC5_PBMC_antibody,Number of reads,"85,057"
Library,Antibody Capture,Fastq ID,Parent_SC5_PBMC_antibody,Number of short reads skipped,0
Library,Antibody Capture,Fastq ID,Parent_SC5_PBMC_antibody,Q30 RNA read,96.8%
Library,Antibody Capture,Fastq ID,Parent_SC5_PBMC_antibody,Q30 UMI,95.9%
Library,Antibody Capture,Fastq ID,Parent_SC5_PBMC_antibody,Q30 barcodes,96.6%
Library,Antibody Capture,Physical library ID,lib3,Estimated number of cells,626
Library,Antibody Capture,Physical library ID,lib3,Fraction antibody reads,97.18%
Library,Antibody Capture,Physical library ID,lib3,Fraction antibody reads in aggregate barcodes,0.00%
Library,Antibody Capture,Physical library ID,lib3,Fraction antibody reads usable,84.78%
Library,Antibody Capture,Physical library ID,lib3,Fraction reads in cells,87.25%
Library,Antibody Capture,Physical library ID,lib3,Fraction unrecognized antibody,2.82%
Library,Antibody Capture,Physical library ID,lib3,Mean reads per cell,136
Library,Antibody Capture,Physical library ID,lib3,Number of reads,"85,057"
Library,Antibody Capture,Physical library ID,lib3,Sequencing saturation,7.41%
Library,Antibody Capture,Physical library ID,lib3,Valid UMIs,100.00%
Library,Antibody Capture,Physical library ID,lib3,Valid barcodes,100.00%
Library,Gene Expression,Fastq ID,bamtofastq,Number of reads,"101,368"
Library,Gene Expression,Fastq ID,bamtofastq,Number of short reads skipped,0
Library,Gene Expression,Fastq ID,bamtofastq,Q30 RNA read,94.7%
Library,Gene Expression,Fastq ID,bamtofastq,Q30 UMI,95.4%
Library,Gene Expression,Fastq ID,bamtofastq,Q30 barcodes,96.0%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped antisense,2.80%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped to exonic regions,62.14%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped to genome,76.32%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped to intergenic regions,6.11%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped to intronic regions,8.07%
Library,Gene Expression,Physical library ID,lib1,Confidently mapped to transcriptome,56.84%
Library,Gene Expression,Physical library ID,lib1,Estimated number of cells,626
Library,Gene Expression,Physical library ID,lib1,Fraction reads in cells,100.00%
Library,Gene Expression,Physical library ID,lib1,Mapped to genome,99.97%
Library,Gene Expression,Physical library ID,lib1,Mean reads per cell,162
Library,Gene Expression,Physical library ID,lib1,Number of reads,"101,368"
Library,Gene Expression,Physical library ID,lib1,Number of reads in the library,"101,368"
Library,Gene Expression,Physical library ID,lib1,Sequencing saturation,87.50%
Library,Gene Expression,Physical library ID,lib1,Valid UMIs,100.00%
Library,Gene Expression,Physical library ID,lib1,Valid barcodes,100.00%
Library,VDJ B,Fastq ID,vdj_ig,Number of reads,"156,620"
Library,VDJ B,Fastq ID,vdj_ig,Number of short reads skipped,0
Library,VDJ B,Fastq ID,vdj_ig,Q30 RNA read,94.9%
Library,VDJ B,Fastq ID,vdj_ig,Q30 RNA read 2,89.9%
Library,VDJ B,Fastq ID,vdj_ig,Q30 UMI,95.9%
Library,VDJ B,Fastq ID,vdj_ig,Q30 barcodes,96.2%
Library,VDJ B,Physical library ID,lib4,Estimated number of cells,259
Library,VDJ B,Physical library ID,lib4,Fraction reads in cells,99.78%
Library,VDJ B,Physical library ID,lib4,Mean reads per cell,605
Library,VDJ B,Physical library ID,lib4,Mean used reads per cell,529
Library,VDJ B,Physical library ID,lib4,Number of reads,"156,620"
Library,VDJ B,Physical library ID,lib4,Reads mapped to IGH,34.98%
Library,VDJ B,Physical library ID,lib4,Reads mapped to IGK,29.51%
Library,VDJ B,Physical library ID,lib4,Reads mapped to IGL,29.99%
Library,VDJ B,Physical library ID,lib4,Reads mapped to any V(D)J gene,94.49%
Library,VDJ B,Physical library ID,lib4,Valid barcodes,100.00%
Library,VDJ T,Fastq ID,vdj_t,Number of reads,"68,336"
Library,VDJ T,Fastq ID,vdj_t,Number of short reads skipped,0
Library,VDJ T,Fastq ID,vdj_t,Q30 RNA read,93.7%
Library,VDJ T,Fastq ID,vdj_t,Q30 RNA read 2,91.7%
Library,VDJ T,Fastq ID,vdj_t,Q30 UMI,96.0%
Library,VDJ T,Fastq ID,vdj_t,Q30 barcodes,96.5%
Library,VDJ T,Physical library ID,lib2,Estimated number of cells,350
Library,VDJ T,Physical library ID,lib2,Fraction reads in cells,99.99%
Library,VDJ T,Physical library ID,lib2,Mean reads per cell,195
Library,VDJ T,Physical library ID,lib2,Mean used reads per cell,166
Library,VDJ T,Physical library ID,lib2,Number of reads,"68,336"
Library,VDJ T,Physical library ID,lib2,Reads mapped to TRA,25.73%
Library,VDJ T,Physical library ID,lib2,Reads mapped to TRB,54.99%
Library,VDJ T,Physical library ID,lib2,Reads mapped to any V(D)J gene,80.93%
Library,VDJ T,Physical library ID,lib2,Valid barcodes,100.00%
Sample,Antibody Capture,,,Antibody reads usable per cell,115
Sample,Antibody Capture,,,Cells,626
Sample,Antibody Capture,,,Median UMI counts per cell,86
Sample,Gene Expression,,,Cells,626
Sample,Gene Expression,,,Confidently mapped antisense,2.80%
Sample,Gene Expression,,,Confidently mapped reads in cells,100.00%
Sample,Gene Expression,,,Confidently mapped to exonic regions,62.14%
Sample,Gene Expression,,,Confidently mapped to genome,76.32%
Sample,Gene Expression,,,Confidently mapped to intergenic regions,6.11%
Sample,Gene Expression,,,Confidently mapped to intronic regions,8.07%
Sample,Gene Expression,,,Confidently mapped to transcriptome,56.84%
Sample,Gene Expression,,,Mapped to genome,99.97%
Sample,Gene Expression,,,Median UMI counts per cell,9
Sample,Gene Expression,,,Median genes per cell,7
Sample,Gene Expression,,,Median reads per cell,127
Sample,Gene Expression,,,Number of reads assigned to the sample,"101,365"
Sample,Gene Expression,,,Total genes detected,71
Sample,VDJ B,,,Cells with productive IGH contig,89.96%
Sample,VDJ B,,,Cells with productive IGK contig,61.00%
Sample,VDJ B,,,Cells with productive IGL contig,45.95%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGK, IGH) pair",54.44%
Sample,VDJ B,,,"Cells with productive V-J spanning (IGL, IGH) pair",42.47%
Sample,VDJ B,,,Cells with productive V-J spanning pair,88.80%
Sample,VDJ B,,,Estimated number of cells,259
Sample,VDJ B,,,Median IGH UMIs per Cell,24.00
Sample,VDJ B,,,Median IGK UMIs per Cell,55
Sample,VDJ B,,,Median IGL UMIs per Cell,45
Sample,VDJ B,,,Number of cells with productive V-J spanning pair,230
Sample,VDJ B,,,Paired clonotype diversity,257.02
Sample,VDJ T,,,Cells with productive TRA contig,66.57%
Sample,VDJ T,,,Cells with productive TRB contig,94.00%
Sample,VDJ T,,,"Cells with productive V-J spanning (TRA, TRB) pair",60.57%
Sample,VDJ T,,,Cells with productive V-J spanning pair,60.57%
Sample,VDJ T,,,Estimated number of cells,350
Sample,VDJ T,,,Median TRA UMIs per Cell,4
Sample,VDJ T,,,Median TRB UMIs per Cell,10
Sample,VDJ T,,,Number of cells with productive V-J spanning pair,212
Sample,VDJ T,,,Paired clonotype diversity,346.05
